,milestone,time,memory
0,start,1174.774369,175.394816
1,loading data,1174.778933,175.394816
2,data loaded,1175.345028,156.38528
3,Start preparing fold0,1175.345075,156.38528
4,Start tuning0,1175.363306,158.670848
5,End tuning0,1178.480572,158.334976
6,end testing0,1186.679683,158.96576
7,end reporting0,1190.997727,167.297024
8,Start preparing fold1,1190.997778,167.297024
9,Start tuning1,1191.016737,169.02144
10,End tuning1,1199.405665,163.201024
11,end testing1,1208.001187,157.323264
12,end reporting1,1219.036883,166.825984
13,Start preparing fold2,1219.03693,166.825984
14,Start tuning2,1219.051601,166.52288
15,End tuning2,1236.202058,164.237312
16,end testing2,1243.232155,166.580224
17,end reporting2,1249.18308,165.84704
18,Start preparing fold3,1249.183125,165.84704
19,Start tuning3,1249.201764,167.612416
20,End tuning3,1253.304072,166.821888
21,end testing3,1261.839527,167.788544
22,end reporting3,1271.993921,167.006208
23,Start preparing fold4,1271.993967,167.006208
24,Start tuning4,1272.008071,167.358464
25,End tuning4,1289.506403,164.610048
26,end testing4,1296.564359,157.810688
27,end reporting4,1301.605974,166.490112
28,Start preparing fold5,1301.60602,166.490112
29,Start tuning5,1301.622682,167.48544
30,End tuning5,1309.457194,167.48544
31,end testing5,1317.350793,167.46496
32,end reporting5,1334.784869,167.002112
33,Start preparing fold6,1334.784913,167.002112
34,Start tuning6,1334.799175,167.235584
35,End tuning6,1354.379685,164.110336
36,end testing6,1361.178065,166.7072
37,end reporting6,1367.09208,166.158336
38,Start preparing fold7,1367.092129,166.158336
39,Start tuning7,1367.109185,167.256064
40,End tuning7,1375.49717,167.256064
41,end testing7,1384.103382,167.81312
42,end reporting7,1394.959996,166.895616
43,Start preparing fold8,1394.960044,166.895616
44,Start tuning8,1394.978351,167.825408
45,End tuning8,1398.76333,166.641664
46,end testing8,1407.300445,167.698432
47,end reporting8,1413.16177,166.93248
48,Start preparing fold9,1413.16182,166.93248
49,Start tuning9,1413.177507,166.207488
50,End tuning9,1427.255116,163.528704
51,end testing9,1434.564752,165.35552
52,end reporting9,1442.341695,165.183488
