,milestone,time,memory
0,start,1978.612985,160.37888
1,loading data,1978.617556,160.37888
2,data loaded,1979.100344,162.553856
3,Start preparing fold0,1979.100392,162.553856
4,Start tuning0,1979.117897,167.030784
5,End tuning0,1982.231718,166.219776
6,end testing0,1990.527306,170.901504
7,end reporting0,1995.176888,165.072896
8,Start preparing fold1,1995.176933,165.072896
9,Start tuning1,1995.19588,167.514112
10,End tuning1,2003.576229,167.05536
11,end testing1,2012.243436,166.998016
12,end reporting1,2031.447282,165.707776
13,Start preparing fold2,2031.447326,165.707776
14,Start tuning2,2031.461803,165.45792
15,End tuning2,2048.556886,163.868672
16,end testing2,2055.588163,168.361984
17,end reporting2,2059.485298,174.649344
18,Start preparing fold3,2059.485343,174.649344
19,Start tuning3,2059.502358,176.467968
20,End tuning3,2063.618022,174.419968
21,end testing3,2072.313262,157.405184
22,end reporting3,2081.964035,165.175296
23,Start preparing fold4,2081.964083,165.175296
24,Start tuning4,2081.978921,165.814272
25,End tuning4,2099.434389,163.868672
26,end testing4,2106.428062,166.281216
27,end reporting4,2131.128236,166.514688
28,Start preparing fold5,2131.128294,166.514688
29,Start tuning5,2131.14585,166.48192
30,End tuning5,2138.973336,166.48192
31,end testing5,2146.961823,166.739968
32,end reporting5,2200.893632,180.805632
33,Start preparing fold6,2200.893681,180.805632
34,Start tuning6,2200.909586,181.047296
35,End tuning6,2220.636554,180.113408
36,end testing6,2227.501986,182.23104
37,end reporting6,2250.796162,173.903872
38,Start preparing fold7,2250.796208,173.903872
39,Start tuning7,2250.813656,175.235072
40,End tuning7,2259.200839,174.85824
41,end testing7,2267.968368,175.919104
42,end reporting7,2287.460353,173.666304
43,Start preparing fold8,2287.460396,173.666304
44,Start tuning8,2287.476526,174.53056
45,End tuning8,2291.266029,172.265472
46,end testing8,2299.814981,172.765184
47,end reporting8,2307.739312,172.003328
48,Start preparing fold9,2307.739356,172.003328
49,Start tuning9,2307.753305,172.310528
50,End tuning9,2321.783417,170.778624
51,end testing9,2329.139651,173.764608
52,end reporting9,2354.551826,171.76576
