,milestone,time,memory
0,start,1743.619265,145.453056
1,loading data,1743.623653,145.453056
2,data loaded,1744.104096,149.889024
3,Start preparing fold0,1744.104146,149.889024
4,Start tuning0,1744.122035,152.182784
5,End tuning0,1747.265433,151.552
6,end testing0,1755.702319,154.820608
7,end reporting0,1759.976745,161.325056
8,Start preparing fold1,1759.97679,161.325056
9,Start tuning1,1759.995157,163.971072
10,End tuning1,1768.922148,157.315072
11,end testing1,1777.88749,154.083328
12,end reporting1,1782.386782,161.398784
13,Start preparing fold2,1782.386826,161.398784
14,Start tuning2,1782.403568,162.05824
15,End tuning2,1800.232369,160.411648
16,end testing2,1807.64272,154.116096
17,end reporting2,1811.54891,161.968128
18,Start preparing fold3,1811.548953,161.968128
19,Start tuning3,1811.565972,163.766272
20,End tuning3,1815.709463,162.050048
21,end testing3,1824.465958,165.236736
22,end reporting3,1829.872777,162.062336
23,Start preparing fold4,1829.872821,162.062336
24,Start tuning4,1829.889264,162.885632
25,End tuning4,1848.067307,161.312768
26,end testing4,1855.435351,163.897344
27,end reporting4,1859.320804,162.947072
28,Start preparing fold5,1859.32086,162.947072
29,Start tuning5,1859.338049,163.975168
30,End tuning5,1867.897269,163.373056
31,end testing5,1876.204519,166.6048
32,end reporting5,1880.462701,173.592576
33,Start preparing fold6,1880.462744,173.592576
34,Start tuning6,1880.477213,173.735936
35,End tuning6,1900.658688,152.973312
36,end testing6,1907.733374,156.422144
37,end reporting6,1911.392476,163.71712
38,Start preparing fold7,1911.392522,163.71712
39,Start tuning7,1911.410428,165.392384
40,End tuning7,1920.319322,165.015552
41,end testing7,1929.354379,157.130752
42,end reporting7,1933.844405,165.15072
43,Start preparing fold8,1933.84445,165.15072
44,Start tuning8,1933.861091,166.313984
45,End tuning8,1937.674301,164.5568
46,end testing8,1946.482539,166.961152
47,end reporting8,1950.99981,164.319232
48,Start preparing fold9,1950.999855,164.319232
49,Start tuning9,1951.014647,165.306368
50,End tuning9,1965.715267,163.479552
51,end testing9,1973.392921,167.305216
52,end reporting9,1978.159613,164.810752
