,milestone,time,memory
0,start,1442.788283,160.571392
1,loading data,1442.792875,160.571392
2,data loaded,1443.277984,163.434496
3,Start preparing fold0,1443.278033,163.434496
4,Start tuning0,1443.295735,167.28064
5,End tuning0,1446.667744,167.473152
6,end testing0,1455.133347,157.892608
7,end reporting0,1459.46053,165.605376
8,Start preparing fold1,1459.460579,165.605376
9,Start tuning1,1459.480515,167.559168
10,End tuning1,1468.457908,169.295872
11,end testing1,1477.293113,159.002624
12,end reporting1,1488.826553,168.402944
13,Start preparing fold2,1488.826606,168.402944
14,Start tuning2,1488.84295,167.985152
15,End tuning2,1507.037334,165.957632
16,end testing2,1514.167357,168.587264
17,end reporting2,1519.815508,167.36256
18,Start preparing fold3,1519.815553,167.36256
19,Start tuning3,1519.83373,169.259008
20,End tuning3,1524.178078,168.349696
21,end testing3,1532.830585,168.50944
22,end reporting3,1549.446365,168.288256
23,Start preparing fold4,1549.44641,168.288256
24,Start tuning4,1549.460226,168.656896
25,End tuning4,1567.749007,166.83008
26,end testing4,1574.981604,160.33792
27,end reporting4,1588.981024,168.329216
28,Start preparing fold5,1588.98109,168.329216
29,Start tuning5,1588.999022,168.894464
30,End tuning5,1597.252283,168.378368
31,end testing5,1605.288726,169.463808
32,end reporting5,1632.375476,157.519872
33,Start preparing fold6,1632.375527,157.519872
34,Start tuning6,1632.391155,157.499392
35,End tuning6,1653.129645,156.172288
36,end testing6,1660.202287,148.299776
37,end reporting6,1665.847192,157.704192
38,Start preparing fold7,1665.84726,157.704192
39,Start tuning7,1665.864767,158.543872
40,End tuning7,1674.824193,158.86336
41,end testing7,1683.645191,160.284672
42,end reporting7,1695.472701,150.028288
43,Start preparing fold8,1695.472745,150.028288
44,Start tuning8,1695.488592,151.228416
45,End tuning8,1699.4899,150.106112
46,end testing8,1708.047309,151.30624
47,end reporting8,1713.855793,159.428608
48,Start preparing fold9,1713.855837,159.428608
49,Start tuning9,1713.869911,159.47776
50,End tuning9,1728.582411,147.591168
51,end testing9,1735.953318,149.721088
52,end reporting9,1742.899433,158.78144
