,milestone,time,memory
0,start,1500.336336,148.668416
1,loading data,1500.340834,148.668416
2,data loaded,1500.845999,147.574784
3,Start preparing fold0,1500.846047,147.574784
4,Start tuning0,1500.864301,149.860352
5,End tuning0,1506.62589,149.52448
6,end testing0,1553.440603,148.25472
7,end reporting0,1558.084593,148.344832
8,Start preparing fold1,1558.084638,148.344832
9,Start tuning1,1558.10327,150.130688
10,End tuning1,1573.632643,149.823488
11,end testing1,1622.028607,148.959232
12,end reporting1,1633.111596,149.172224
13,Start preparing fold2,1633.111639,149.172224
14,Start tuning2,1633.12645,148.824064
15,End tuning2,1664.650861,146.538496
16,end testing2,1704.297627,140.12416
17,end reporting2,1709.25356,148.041728
18,Start preparing fold3,1709.253607,148.041728
19,Start tuning3,1709.27252,149.041152
20,End tuning3,1716.826767,148.13184
21,end testing3,1764.602958,148.824064
22,end reporting3,1776.481975,148.652032
23,Start preparing fold4,1776.482021,148.652032
24,Start tuning4,1776.496025,148.328448
25,End tuning4,1808.710692,136.650752
26,end testing4,1847.549342,138.993664
27,end reporting4,1851.787793,147.922944
28,Start preparing fold5,1851.78784,147.922944
29,Start tuning5,1851.804821,148.512768
30,End tuning5,1866.267542,148.606976
31,end testing5,1910.715628,139.3664
32,end reporting5,1919.58832,148.865024
33,Start preparing fold6,1919.588366,148.865024
34,Start tuning6,1919.603024,148.226048
35,End tuning6,1955.662013,136.3968
36,end testing6,1993.455134,138.080256
37,end reporting6,2002.977699,146.989056
38,Start preparing fold7,2002.977759,146.989056
39,Start tuning7,2002.998037,147.984384
40,End tuning7,2018.466069,148.04992
41,end testing7,2066.69561,148.922368
42,end reporting7,2077.89508,148.529152
43,Start preparing fold8,2077.895125,148.529152
44,Start tuning8,2077.911594,149.66784
45,End tuning8,2084.874893,148.291584
46,end testing8,2132.680469,149.000192
47,end reporting8,2141.376638,149.344256
48,Start preparing fold9,2141.376682,149.344256
49,Start tuning9,2141.391311,148.533248
50,End tuning9,2167.39345,145.788928
51,end testing9,2208.470311,138.530816
52,end reporting9,2217.836224,148.127744
