,milestone,time,memory
0,start,3627.593937,145.752064
1,loading data,3627.59843,145.752064
2,data loaded,3628.101974,148.983808
3,Start preparing fold0,3628.102021,148.983808
4,Start tuning0,3628.119292,152.612864
5,End tuning0,3633.897934,151.81824
6,end testing0,3680.099538,153.853952
7,end reporting0,3685.746733,151.392256
8,Start preparing fold1,3685.746777,151.392256
9,Start tuning1,3685.764983,152.436736
10,End tuning1,3701.224283,151.977984
11,end testing1,3749.872536,152.018944
12,end reporting1,3766.238591,151.875584
13,Start preparing fold2,3766.238637,151.875584
14,Start tuning2,3766.252875,151.57248
15,End tuning2,3797.844376,145.5104
16,end testing2,3837.242779,152.04352
17,end reporting2,3842.200758,160.370688
18,Start preparing fold3,3842.200803,160.370688
19,Start tuning3,3842.349783,143.499264
20,End tuning3,3849.850169,141.488128
21,end testing3,3897.259973,142.364672
22,end reporting3,3908.178825,151.728128
23,Start preparing fold4,3908.178876,151.728128
24,Start tuning4,3908.193028,151.621632
25,End tuning4,3940.315388,149.79072
26,end testing4,3979.834936,151.113728
27,end reporting4,3989.431577,150.65088
28,Start preparing fold5,3989.431624,150.65088
29,Start tuning5,3989.450669,151.343104
30,End tuning5,4003.897538,151.359488
31,end testing5,4048.274127,152.018944
32,end reporting5,4056.090149,151.814144
33,Start preparing fold6,4056.090196,151.814144
34,Start tuning6,4056.106584,150.642688
35,End tuning6,4092.008802,148.819968
36,end testing6,4130.162427,140.894208
37,end reporting6,4146.202132,150.040576
38,Start preparing fold7,4146.202193,150.040576
39,Start tuning7,4146.221433,151.113728
40,End tuning7,4161.625898,151.113728
41,end testing7,4210.40711,152.10496
42,end reporting7,4227.031915,151.2448
43,Start preparing fold8,4227.03197,151.2448
44,Start tuning8,4227.048162,152.113152
45,End tuning8,4234.061714,150.110208
46,end testing8,4282.327695,151.969792
47,end reporting8,4291.623706,151.605248
48,Start preparing fold9,4291.623769,151.605248
49,Start tuning9,4291.637953,151.683072
50,End tuning9,4317.550953,149.66784
51,end testing9,4358.944036,152.285184
52,end reporting9,4381.222472,150.765568
