,milestone,time,memory
0,start,2942.951008,138.309632
1,loading data,2942.955448,138.309632
2,data loaded,2943.453369,141.213696
3,Start preparing fold0,2943.453418,141.213696
4,Start tuning0,2943.470873,145.05984
5,End tuning0,2949.32365,144.429056
6,end testing0,2996.158409,147.095552
7,end reporting0,3000.483244,152.510464
8,Start preparing fold1,3000.483296,152.510464
9,Start tuning1,3000.503264,154.78784
10,End tuning1,3016.489776,154.17344
11,end testing1,3065.048246,156.606464
12,end reporting1,3069.555618,162.750464
13,Start preparing fold2,3069.555665,162.750464
14,Start tuning2,3069.570168,162.75456
15,End tuning2,3101.820509,140.771328
16,end testing2,3141.111602,145.047552
17,end reporting2,3145.301779,152.109056
18,Start preparing fold3,3145.301824,152.109056
19,Start tuning3,3145.319185,153.858048
20,End tuning3,3152.908829,152.317952
21,end testing3,3201.120903,155.553792
22,end reporting3,3206.326927,152.551424
23,Start preparing fold4,3206.326972,152.551424
24,Start tuning4,3206.342065,153.4976
25,End tuning4,3239.256321,151.928832
26,end testing4,3278.60949,154.566656
27,end reporting4,3282.48848,150.781952
28,Start preparing fold5,3282.488523,150.781952
29,Start tuning5,3282.506689,152.297472
30,End tuning5,3297.715904,151.445504
31,end testing5,3341.907283,155.136
32,end reporting5,3346.1861,161.107968
33,Start preparing fold6,3346.186144,161.107968
34,Start tuning6,3346.200183,161.42336
35,End tuning6,3383.400138,140.4928
36,end testing6,3421.468977,144.064512
37,end reporting6,3425.148186,151.216128
38,Start preparing fold7,3425.148231,151.216128
39,Start tuning7,3425.165871,152.731648
40,End tuning7,3441.15915,152.731648
41,end testing7,3489.954154,143.273984
42,end reporting7,3494.480125,150.462464
43,Start preparing fold8,3494.480174,150.462464
44,Start tuning8,3494.499335,151.666688
45,End tuning8,3501.641822,149.9136
46,end testing8,3549.972391,152.3712
47,end reporting8,3554.864664,150.212608
48,Start preparing fold9,3554.86471,150.212608
49,Start tuning9,3554.879135,149.618688
50,End tuning9,3581.504947,147.632128
51,end testing9,3622.869133,151.556096
52,end reporting9,3627.144856,150.544384
