,milestone,time,memory
0,start,2218.328481,134.320128
1,loading data,2218.333529,134.320128
2,data loaded,2218.830293,137.158656
3,Start preparing fold0,2218.830341,137.158656
4,Start tuning0,2218.849844,141.0048
5,End tuning0,2224.856652,140.763136
6,end testing0,2271.242027,139.784192
7,end reporting0,2276.568033,148.639744
8,Start preparing fold1,2276.568081,148.639744
9,Start tuning1,2276.585673,149.774336
10,End tuning1,2292.523141,150.15936
11,end testing1,2340.839816,150.843392
12,end reporting1,2351.811351,150.192128
13,Start preparing fold2,2351.811397,150.192128
14,Start tuning2,2351.825807,149.89312
15,End tuning2,2384.497271,148.307968
16,end testing2,2423.965451,150.151168
17,end reporting2,2429.333335,150.654976
18,Start preparing fold3,2429.333395,150.654976
19,Start tuning3,2429.350083,151.32672
20,End tuning3,2437.181192,150.20032
21,end testing3,2485.003081,151.334912
22,end reporting3,2494.987301,150.122496
23,Start preparing fold4,2494.987347,150.122496
24,Start tuning4,2495.002422,150.839296
25,End tuning4,2528.061968,148.45952
26,end testing4,2567.498383,141.615104
27,end reporting4,2574.718254,149.85216
28,Start preparing fold5,2574.718302,149.85216
29,Start tuning5,2574.734095,150.437888
30,End tuning5,2589.59892,149.979136
31,end testing5,2633.737474,141.893632
32,end reporting5,2646.008957,151.293952
33,Start preparing fold6,2646.009003,151.293952
34,Start tuning6,2646.023121,150.24128
35,End tuning6,2683.239691,149.495808
36,end testing6,2721.290188,151.998464
37,end reporting6,2730.876738,151.216128
38,Start preparing fold7,2730.876781,151.216128
39,Start tuning7,2730.896091,152.137728
40,End tuning7,2746.858874,151.744512
41,end testing7,2795.057778,153.141248
42,end reporting7,2806.206293,152.236032
43,Start preparing fold8,2806.206338,152.236032
44,Start tuning8,2806.223435,153.608192
45,End tuning8,2813.561214,152.231936
46,end testing8,2861.738485,143.95392
47,end reporting8,2868.706345,152.072192
48,Start preparing fold9,2868.706395,152.072192
49,Start tuning9,2868.72319,152.3712
50,End tuning9,2895.298179,140.41088
51,end testing9,2935.951361,143.417344
52,end reporting9,2942.240641,151.77728
