,milestone,time,memory
0,start,1890.358062,172.363776
1,loading data,1890.363261,172.363776
2,data loaded,1890.970345,144.34304
3,Start preparing fold0,1890.97039,144.34304
4,Start tuning0,1890.988664,148.201472
5,End tuning0,1898.57995,147.8656
6,end testing0,1970.812088,148.127744
7,end reporting0,2255.860651,245.305344
8,Start preparing fold1,2255.860712,245.305344
9,Start tuning1,2255.878762,247.17312
10,End tuning1,2276.363232,247.0912
11,end testing1,2351.435273,247.95136
12,end reporting1,2361.761531,269.549568
13,Start preparing fold2,2361.761581,269.549568
14,Start tuning2,2361.776394,269.971456
15,End tuning2,2403.468301,269.275136
16,end testing2,2465.095608,165.568512
17,end reporting2,2469.931344,172.97408
18,Start preparing fold3,2469.93139,172.97408
19,Start tuning3,2469.948759,174.91968
20,End tuning3,2479.969151,174.01856
21,end testing3,2554.12725,174.747648
22,end reporting3,2563.050345,172.642304
23,Start preparing fold4,2563.05039,172.642304
24,Start tuning4,2563.064618,173.072384
25,End tuning4,2605.70614,171.1104
26,end testing4,2666.50956,163.49184
27,end reporting4,2676.217175,171.851776
28,Start preparing fold5,2676.217222,171.851776
29,Start tuning5,2676.309672,163.332096
30,End tuning5,2695.276488,163.332096
31,end testing5,2763.22578,163.418112
32,end reporting5,2775.300501,172.544
33,Start preparing fold6,2775.300545,172.544
34,Start tuning6,2775.315248,171.880448
35,End tuning6,2822.848421,169.746432
36,end testing6,2882.053392,171.06944
37,end reporting6,2896.45541,170.627072
38,Start preparing fold7,2896.455475,170.627072
39,Start tuning7,2896.476567,172.220416
40,End tuning7,2916.886551,172.220416
41,end testing7,2991.819751,172.576768
42,end reporting7,3002.199093,172.343296
43,Start preparing fold8,3002.199138,172.343296
44,Start tuning8,3002.215619,173.81376
45,End tuning8,3011.461588,172.437504
46,end testing8,3085.885784,171.933696
47,end reporting8,3092.549975,171.003904
48,Start preparing fold9,3092.550021,171.003904
49,Start tuning9,3092.566205,171.8272
50,End tuning9,3126.853679,169.472
51,end testing9,3190.351519,172.560384
52,end reporting9,3197.798828,170.135552
