,milestone,time,memory
0,start,5284.175247,159.285248
1,loading data,5284.180205,159.285248
2,data loaded,5284.704765,162.033664
3,Start preparing fold0,5284.704813,162.033664
4,Start tuning0,5284.721765,165.154816
5,End tuning0,5292.33795,164.421632
6,end testing0,5364.332433,169.033728
7,end reporting0,5369.253412,163.65568
8,Start preparing fold1,5369.253455,163.65568
9,Start tuning1,5369.272636,165.900288
10,End tuning1,5389.646556,165.441536
11,end testing1,5464.502427,165.240832
12,end reporting1,5477.796199,163.053568
13,Start preparing fold2,5477.796245,163.053568
14,Start tuning2,5477.811635,164.032512
15,End tuning2,5519.3777,162.435072
16,end testing2,5580.392654,157.237248
17,end reporting2,5584.335017,163.856384
18,Start preparing fold3,5584.335062,163.856384
19,Start tuning3,5584.353613,165.441536
20,End tuning3,5594.336606,163.414016
21,end testing3,5668.429812,165.51936
22,end reporting3,5681.229885,154.079232
23,Start preparing fold4,5681.229928,154.079232
24,Start tuning4,5681.243839,154.935296
25,End tuning4,5723.484187,152.870912
26,end testing4,5783.623631,154.120192
27,end reporting4,5809.581514,163.725312
28,Start preparing fold5,5809.58156,163.725312
29,Start tuning5,5809.598514,164.769792
30,End tuning5,5828.596993,164.769792
31,end testing5,5897.07604,163.930112
32,end reporting5,5977.458053,190.513152
33,Start preparing fold6,5977.458106,190.513152
34,Start tuning6,5977.472039,190.390272
35,End tuning6,6025.202954,189.960192
36,end testing6,6084.577556,191.737856
37,end reporting6,6105.26436,184.97536
38,Start preparing fold7,6105.264408,184.97536
39,Start tuning7,6105.281987,186.003456
40,End tuning7,6125.640205,186.003456
41,end testing7,6200.590639,166.670336
42,end reporting7,6213.221501,173.780992
43,Start preparing fold8,6213.221547,173.780992
44,Start tuning8,6213.238419,175.529984
45,End tuning8,6222.450654,173.83424
46,end testing8,6296.866134,174.12096
47,end reporting8,6306.226129,173.38368
48,Start preparing fold9,6306.226175,173.38368
49,Start tuning9,6306.241352,174.104576
50,End tuning9,6340.745872,172.150784
51,end testing9,6404.361742,174.546944
52,end reporting9,6433.237603,173.182976
