,milestone,time,memory
0,start,4292.833009,167.3216
1,loading data,4292.837527,167.3216
2,data loaded,4293.430549,157.212672
3,Start preparing fold0,4293.430596,157.212672
4,Start tuning0,4293.448425,162.422784
5,End tuning0,4301.088818,161.714176
6,end testing0,4374.068301,165.040128
7,end reporting0,4378.537991,172.294144
8,Start preparing fold1,4378.538042,172.294144
9,Start tuning1,4378.557327,174.280704
10,End tuning1,4399.83371,168.935424
11,end testing1,4475.536751,153.030656
12,end reporting1,4480.090239,160.288768
13,Start preparing fold2,4480.090292,160.288768
14,Start tuning2,4480.104787,160.948224
15,End tuning2,4522.81976,159.318016
16,end testing2,4584.961686,152.866816
17,end reporting2,4589.125678,160.014336
18,Start preparing fold3,4589.125724,160.014336
19,Start tuning3,4589.143641,162.144256
20,End tuning3,4599.244715,160.452608
21,end testing3,4673.828001,163.540992
22,end reporting3,4679.32932,161.169408
23,Start preparing fold4,4679.329366,161.169408
24,Start tuning4,4679.343629,161.554432
25,End tuning4,4722.51649,160.333824
26,end testing4,4783.768153,163.086336
27,end reporting4,4787.706737,161.882112
28,Start preparing fold5,4787.706787,161.882112
29,Start tuning5,4787.72494,162.742272
30,End tuning5,4807.389624,162.742272
31,end testing5,4876.055044,165.388288
32,end reporting5,4880.355421,172.601344
33,Start preparing fold6,4880.355467,172.601344
34,Start tuning6,4880.369385,172.531712
35,End tuning6,4928.315085,151.42912
36,end testing6,4987.159723,155.017216
37,end reporting6,4990.857855,162.451456
38,Start preparing fold7,4990.857902,162.451456
39,Start tuning7,4990.876462,163.606528
40,End tuning7,5011.863624,163.606528
41,end testing7,5087.100122,155.66848
42,end reporting7,5091.675336,162.947072
43,Start preparing fold8,5091.675381,162.947072
44,Start tuning8,5091.69226,164.651008
45,End tuning8,5100.929462,162.893824
46,end testing8,5175.704927,165.35552
47,end reporting8,5180.778147,162.451456
48,Start preparing fold9,5180.778191,162.451456
49,Start tuning9,5180.792733,163.258368
50,End tuning9,5215.702212,161.56672
51,end testing9,5279.535066,165.466112
52,end reporting9,5283.728654,163.868672
