,milestone,time,memory
0,start,3198.250137,165.756928
1,loading data,3198.255352,165.756928
2,data loaded,3198.786067,168.69376
3,Start preparing fold0,3198.786115,168.69376
4,Start tuning0,3198.805173,172.539904
5,End tuning0,3206.659642,172.228608
6,end testing0,3279.015488,161.787904
7,end reporting0,3283.395245,168.83712
8,Start preparing fold1,3283.395299,168.83712
9,Start tuning1,3283.413946,170.5984
10,End tuning1,3304.323028,170.713088
11,end testing1,3379.318467,171.569152
12,end reporting1,3391.129907,170.348544
13,Start preparing fold2,3391.129953,170.348544
14,Start tuning2,3391.145076,170.082304
15,End tuning2,3434.194029,157.749248
16,end testing2,3496.162816,160.3584
17,end reporting2,3526.314195,169.107456
18,Start preparing fold3,3526.314242,169.107456
19,Start tuning3,3526.333303,170.663936
20,End tuning3,3536.879445,169.791488
21,end testing3,3611.789293,170.070016
22,end reporting3,3628.006134,161.09568
23,Start preparing fold4,3628.00618,161.09568
24,Start tuning4,3628.021521,161.501184
25,End tuning4,3671.144159,159.604736
26,end testing4,3731.552569,161.079296
27,end reporting4,3748.519651,170.385408
28,Start preparing fold5,3748.519701,170.385408
29,Start tuning5,3748.538649,171.368448
30,End tuning5,3768.000224,171.024384
31,end testing5,3836.607679,161.56672
32,end reporting5,3850.126899,171.986944
33,Start preparing fold6,3850.126943,171.986944
34,Start tuning6,3850.142431,171.241472
35,End tuning6,3898.590393,169.24672
36,end testing6,3958.540349,170.610688
37,end reporting6,3976.678955,170.631168
38,Start preparing fold7,3976.678999,170.631168
39,Start tuning7,3976.697115,171.925504
40,End tuning7,3999.250586,171.974656
41,end testing7,4076.74684,173.146112
42,end reporting7,4090.218095,172.511232
43,Start preparing fold8,4090.218139,172.511232
44,Start tuning8,4090.234973,173.85472
45,End tuning8,4100.374515,172.576768
46,end testing8,4176.962209,172.732416
47,end reporting8,4184.421499,173.170688
48,Start preparing fold9,4184.421545,173.170688
49,Start tuning9,4184.436084,172.630016
50,End tuning9,4219.34903,169.914368
51,end testing9,4284.15687,163.7376
52,end reporting9,4292.163639,171.184128
