,milestone,time,memory
0,start,222.484011,113.352704
1,loading data,222.499177,113.352704
2,data loaded,223.306777,108.027904
3,Start preparing fold0,223.306823,108.027904
4,Start tuning0,223.325357,113.074176
5,End tuning0,234.881093,113.074176
6,end testing0,292.049446,113.074176
7,end reporting0,292.233056,112.668672
8,Start preparing fold1,292.233098,112.668672
9,Start tuning1,292.250406,113.963008
10,End tuning1,325.169097,113.963008
11,end testing1,386.173715,114.60608
12,end reporting1,386.372809,112.492544
13,Start preparing fold2,386.372851,112.492544
14,Start tuning2,386.388787,111.951872
15,End tuning2,471.689278,111.435776
16,end testing2,513.869205,111.509504
17,end reporting2,514.030708,112.427008
18,Start preparing fold3,514.03075,112.427008
19,Start tuning3,514.047573,111.94368
20,End tuning3,528.129056,111.94368
21,end testing3,587.913995,112.304128
22,end reporting3,588.101984,112.300032
23,Start preparing fold4,588.102025,112.300032
24,Start tuning4,588.116662,112.508928
25,End tuning4,671.920349,111.583232
26,end testing4,710.290363,111.583232
27,end reporting4,710.437948,111.886336
28,Start preparing fold5,710.43799,111.886336
29,Start tuning5,710.455061,112.25088
30,End tuning5,739.171872,112.25088
31,end testing5,790.807503,112.959488
32,end reporting5,790.984301,112.717824
33,Start preparing fold6,790.984344,112.717824
34,Start tuning6,790.998755,112.664576
35,End tuning6,889.124842,111.280128
36,end testing6,929.257414,111.280128
37,end reporting6,929.407285,112.29184
38,Start preparing fold7,929.407328,112.29184
39,Start tuning7,929.424437,112.7424
40,End tuning7,962.19946,112.7424
41,end testing7,1023.12332,113.266688
42,end reporting7,1023.318824,113.082368
43,Start preparing fold8,1023.318867,113.082368
44,Start tuning8,1023.337118,114.040832
45,End tuning8,1036.073836,114.040832
46,end testing8,1094.938232,114.139136
47,end reporting8,1095.12847,112.70144
48,Start preparing fold9,1095.128512,112.70144
49,Start tuning9,1095.142736,112.951296
50,End tuning9,1157.224165,111.898624
51,end testing9,1200.296121,111.898624
52,end reporting9,1200.465212,112.267264
