,milestone,time,memory
0,start,83.869241,116.297728
1,loading data,83.882766,116.297728
2,data loaded,84.68642,110.972928
3,Start preparing fold0,84.686468,110.972928
4,Start tuning0,84.705693,114.614272
5,End tuning0,86.068128,114.614272
6,end testing0,123.240351,114.352128
7,end reporting0,123.410772,114.46272
8,Start preparing fold1,123.410816,114.46272
9,Start tuning1,123.428295,115.572736
10,End tuning1,126.992936,115.572736
11,end testing1,165.528745,113.266688
12,end reporting1,165.714785,114.098176
13,Start preparing fold2,165.714828,114.098176
14,Start tuning2,165.72953,113.831936
15,End tuning2,173.065262,113.2544
16,end testing2,204.595137,112.86528
17,end reporting2,204.749466,113.668096
18,Start preparing fold3,204.749509,113.668096
19,Start tuning3,204.766329,114.74944
20,End tuning3,206.518685,114.74944
21,end testing3,244.949344,113.876992
22,end reporting3,245.136259,114.552832
23,Start preparing fold4,245.136304,114.552832
24,Start tuning4,245.150451,114.466816
25,End tuning4,252.660816,113.27488
26,end testing4,284.083678,113.135616
27,end reporting4,284.225472,113.917952
28,Start preparing fold5,284.225517,113.917952
29,Start tuning5,284.242551,114.753536
30,End tuning5,287.593377,114.753536
31,end testing5,324.231265,88.59648
32,end reporting5,324.407224,90.202112
33,Start preparing fold6,324.407267,90.202112
34,Start tuning6,324.421454,90.656768
35,End tuning6,332.735016,89.53856
36,end testing6,363.518488,89.460736
37,end reporting6,363.673538,89.45664
38,Start preparing fold7,363.673581,89.45664
39,Start tuning7,363.691206,91.193344
40,End tuning7,367.265853,91.2384
41,end testing7,405.750805,90.103808
42,end reporting7,405.936894,90.865664
43,Start preparing fold8,405.936938,90.865664
44,Start tuning8,405.953693,92.086272
45,End tuning8,407.543707,92.086272
46,end testing8,445.721435,89.72288
47,end reporting8,445.918007,89.935872
48,Start preparing fold9,445.918049,89.935872
49,Start tuning9,445.933866,90.86976
50,End tuning9,452.065922,89.92768
51,end testing9,485.258479,89.202688
52,end reporting9,485.451499,89.956352
