,milestone,time,memory
0,start,34.140637,116.359168
1,loading data,34.155649,116.359168
2,data loaded,34.944383,111.157248
3,Start preparing fold0,34.944428,111.157248
4,Start tuning0,34.963433,115.019776
5,End tuning0,35.477938,115.019776
6,end testing0,49.251799,114.761728
7,end reporting0,49.423718,114.909184
8,Start preparing fold1,49.423759,114.909184
9,Start tuning1,49.441159,115.912704
10,End tuning1,50.815428,115.920896
11,end testing1,65.144052,113.713152
12,end reporting1,65.32866,114.307072
13,Start preparing fold2,65.328701,114.307072
14,Start tuning2,65.342841,113.905664
15,End tuning2,68.127122,113.455104
16,end testing2,79.748724,113.188864
17,end reporting2,79.902411,114.024448
18,Start preparing fold3,79.902452,114.024448
19,Start tuning3,79.920455,115.195904
20,End tuning3,80.596978,115.195904
21,end testing3,94.760304,113.422336
22,end reporting3,94.939355,113.963008
23,Start preparing fold4,94.939398,113.963008
24,Start tuning4,94.954008,114.532352
25,End tuning4,97.804291,113.627136
26,end testing4,109.369336,112.816128
27,end reporting4,109.506275,113.9712
28,Start preparing fold5,109.506321,113.9712
29,Start tuning5,109.523031,115.236864
30,End tuning5,110.814636,115.236864
31,end testing5,123.911032,114.036736
32,end reporting5,124.084835,114.802688
33,Start preparing fold6,124.084876,114.802688
34,Start tuning6,124.099234,114.679808
35,End tuning6,127.281634,113.598464
36,end testing6,138.546513,113.102848
37,end reporting6,138.684804,114.221056
38,Start preparing fold7,138.684847,114.221056
39,Start tuning7,138.702358,115.499008
40,End tuning7,140.06738,115.499008
41,end testing7,154.306463,114.638848
42,end reporting7,154.490877,114.966528
43,Start preparing fold8,154.490921,114.966528
44,Start tuning8,154.508071,116.228096
45,End tuning8,155.127628,116.228096
46,end testing8,169.432903,113.197056
47,end reporting8,169.615609,114.393088
48,Start preparing fold9,169.61565,114.393088
49,Start tuning9,169.63062,114.8928
50,End tuning9,171.956553,113.860608
51,end testing9,184.09232,113.287168
52,end reporting9,184.295402,113.983488
