,milestone,time,memory
0,start,23.000287,116.600832
1,loading data,23.016103,116.600832
2,data loaded,23.843973,112.308224
3,Start preparing fold0,23.844017,112.308224
4,Start tuning0,23.863339,114.56512
5,End tuning0,24.183475,114.56512
6,end testing0,32.507856,114.044928
7,end reporting0,32.660202,113.922048
8,Start preparing fold1,32.660245,113.922048
9,Start tuning1,32.677613,115.429376
10,End tuning1,33.543443,115.429376
11,end testing1,42.336806,114.184192
12,end reporting1,42.531556,114.19648
13,Start preparing fold2,42.531598,114.19648
14,Start tuning2,42.547162,113.577984
15,End tuning2,44.337599,113.004544
16,end testing2,51.552015,112.222208
17,end reporting2,51.689453,112.451584
18,Start preparing fold3,51.689494,112.451584
19,Start tuning3,51.706769,114.229248
20,End tuning3,52.139324,114.229248
21,end testing3,60.880614,113.065984
22,end reporting3,61.05258,113.799168
23,Start preparing fold4,61.052622,113.799168
24,Start tuning4,61.067136,113.831936
25,End tuning4,62.914081,112.963584
26,end testing4,70.047833,112.406528
27,end reporting4,70.221425,113.246208
28,Start preparing fold5,70.221468,113.246208
29,Start tuning5,70.239309,114.487296
30,End tuning5,71.05937,114.491392
31,end testing5,79.119147,113.750016
32,end reporting5,79.314513,113.741824
33,Start preparing fold6,79.314554,113.741824
34,Start tuning6,79.330427,113.999872
35,End tuning6,81.359297,113.139712
36,end testing6,88.29872,112.918528
37,end reporting6,88.477034,112.889856
38,Start preparing fold7,88.477078,112.889856
39,Start tuning7,88.494593,115.03616
40,End tuning7,89.409443,115.03616
41,end testing7,98.204568,114.249728
42,end reporting7,98.399223,114.761728
43,Start preparing fold8,98.399266,114.761728
44,Start tuning8,98.417721,115.720192
45,End tuning8,98.813536,115.720192
46,end testing8,107.55676,113.958912
47,end reporting8,107.725645,113.545216
48,Start preparing fold9,107.725688,113.545216
49,Start tuning9,107.741079,114.311168
50,End tuning9,109.204917,113.369088
51,end testing9,116.739578,112.664576
52,end reporting9,116.967855,112.92672
