,milestone,time,memory
0,start,102.182017,116.588544
1,loading data,102.196266,116.588544
2,data loaded,102.972474,111.321088
3,Start preparing fold0,102.97252,111.321088
4,Start tuning0,102.991568,114.966528
5,End tuning0,104.631747,114.966528
6,end testing0,150.525792,113.958912
7,end reporting0,150.693124,114.679808
8,Start preparing fold1,150.693167,114.679808
9,Start tuning1,150.710266,115.843072
10,End tuning1,155.129446,115.843072
11,end testing1,204.333827,113.819648
12,end reporting1,204.512716,114.372608
13,Start preparing fold2,204.51276,114.372608
14,Start tuning2,204.527887,113.614848
15,End tuning2,213.549895,113.168384
16,end testing2,252.633587,112.447488
17,end reporting2,252.790119,113.700864
18,Start preparing fold3,252.790162,113.700864
19,Start tuning3,252.807029,114.60608
20,End tuning3,254.962741,114.60608
21,end testing3,302.223504,113.8688
22,end reporting3,302.409454,114.176
23,Start preparing fold4,302.409498,114.176
24,Start tuning4,302.424248,114.040832
25,End tuning4,311.873054,113.061888
26,end testing4,350.412438,112.55808
27,end reporting4,350.569671,113.754112
28,Start preparing fold5,350.569715,113.754112
29,Start tuning5,350.587025,114.659328
30,End tuning5,354.686378,114.659328
31,end testing5,398.142107,114.245632
32,end reporting5,398.344344,113.672192
33,Start preparing fold6,398.344388,113.672192
34,Start tuning6,398.359194,114.225152
35,End tuning6,408.587257,113.168384
36,end testing6,446.033831,112.672768
37,end reporting6,446.211625,113.147904
38,Start preparing fold7,446.211667,113.147904
39,Start tuning7,446.228423,114.843648
40,End tuning7,450.610489,114.843648
41,end testing7,498.477249,114.466816
42,end reporting7,498.669849,114.765824
43,Start preparing fold8,498.669894,114.765824
44,Start tuning8,498.689756,115.822592
45,End tuning8,500.905501,115.822592
46,end testing8,548.36299,114.163712
47,end reporting8,548.544953,114.384896
48,Start preparing fold9,548.544996,114.384896
49,Start tuning9,548.559653,114.491392
50,End tuning9,556.016485,113.598464
51,end testing9,597.890874,112.92672
52,end reporting9,598.14715,113.60256
