,milestone,time,memory
0,start,163.266354,116.5312
1,loading data,163.281319,116.5312
2,data loaded,164.108938,111.276032
3,Start preparing fold0,164.108984,111.276032
4,Start tuning0,164.128021,114.917376
5,End tuning0,166.727565,114.917376
6,end testing0,240.063504,114.8928
7,end reporting0,240.218005,114.343936
8,Start preparing fold1,240.218049,114.343936
9,Start tuning1,240.236073,115.912704
10,End tuning1,247.148947,115.912704
11,end testing1,322.622544,114.589696
12,end reporting1,322.8233,114.601984
13,Start preparing fold2,322.823344,114.601984
14,Start tuning2,322.838099,114.106368
15,End tuning2,336.873837,113.594368
16,end testing2,398.172462,112.787456
17,end reporting2,398.310688,113.061888
18,Start preparing fold3,398.310728,113.061888
19,Start tuning3,398.328147,115.064832
20,End tuning3,401.687632,115.064832
21,end testing3,476.216674,113.88928
22,end reporting3,476.385647,114.163712
23,Start preparing fold4,476.385691,114.163712
24,Start tuning4,476.400423,114.393088
25,End tuning4,490.715727,113.504256
26,end testing4,551.755699,113.065984
27,end reporting4,551.929566,113.88928
28,Start preparing fold5,551.929608,113.88928
29,Start tuning5,551.946434,115.0976
30,End tuning5,558.364367,115.0976
31,end testing5,627.229574,114.335744
32,end reporting5,627.430716,114.671616
33,Start preparing fold6,627.430763,114.671616
34,Start tuning6,627.448616,114.343936
35,End tuning6,643.814981,113.64352
36,end testing6,706.248448,89.182208
37,end reporting6,706.411037,90.4192
38,Start preparing fold7,706.41108,90.4192
39,Start tuning7,706.429682,91.492352
40,End tuning7,713.423929,91.492352
41,end testing7,790.743422,90.824704
42,end reporting7,790.93777,91.287552
43,Start preparing fold8,790.937814,91.287552
44,Start tuning8,790.957167,92.504064
45,End tuning8,794.078485,92.504064
46,end testing8,873.705317,90.710016
47,end reporting8,873.88363,90.222592
48,Start preparing fold9,873.883673,90.222592
49,Start tuning9,873.900763,91.32032
50,End tuning9,886.281268,90.169344
51,end testing9,956.090371,89.382912
52,end reporting9,956.281257,90.669056
