,milestone,time,memory
0,start,5.790637,113.47968
1,loading data,5.805112,113.47968
2,data loaded,6.595353,110.16192
3,Start preparing fold0,6.595403,110.16192
4,Start tuning0,6.615033,115.048448
5,End tuning0,6.617694,115.048448
6,end testing0,7.675139,114.511872
7,end reporting0,7.842742,113.778688
8,Start preparing fold1,7.842786,113.778688
9,Start tuning1,7.860303,115.9168
10,End tuning1,7.865196,115.9168
11,end testing1,10.723176,114.487296
12,end reporting1,10.922496,114.76992
13,Start preparing fold2,10.922539,114.76992
14,Start tuning2,10.939498,115.122176
15,End tuning2,10.948681,114.941952
16,end testing2,12.700068,114.233344
17,end reporting2,12.857182,114.864128
18,Start preparing fold3,12.857225,114.864128
19,Start tuning3,12.874715,116.396032
20,End tuning3,12.877975,116.396032
21,end testing3,13.895478,115.87584
22,end reporting3,14.06627,115.310592
23,Start preparing fold4,14.066314,115.310592
24,Start tuning4,14.082526,116.027392
25,End tuning4,14.091631,115.867648
26,end testing4,17.013234,115.286016
27,end reporting4,17.177205,115.417088
28,Start preparing fold5,17.177251,115.417088
29,Start tuning5,17.194736,116.568064
30,End tuning5,17.199545,116.568064
31,end testing5,17.851289,114.950144
32,end reporting5,18.007817,114.814976
33,Start preparing fold6,18.00786,114.814976
34,Start tuning6,18.023365,115.843072
35,End tuning6,18.033259,115.789824
36,end testing6,21.073015,116.002816
37,end reporting6,21.232495,116.269056
38,Start preparing fold7,21.232538,116.269056
39,Start tuning7,21.250632,117.49376
40,End tuning7,21.25556,117.49376
41,end testing7,24.105603,117.444608
42,end reporting7,24.305362,117.067776
43,Start preparing fold8,24.305404,117.067776
44,Start tuning8,24.325107,118.628352
45,End tuning8,24.328118,118.628352
46,end testing8,25.08782,116.87936
47,end reporting8,25.257168,117.182464
48,Start preparing fold9,25.257209,117.182464
49,Start tuning9,25.27209,117.940224
50,End tuning9,25.279499,117.669888
51,end testing9,26.152367,117.481472
52,end reporting9,26.302969,117.260288
