,milestone,time,memory
0,start,198.572003,116.359168
1,loading data,198.583338,116.359168
2,data loaded,199.347934,114.515968
3,Start preparing fold0,199.347981,114.515968
4,Start tuning0,199.367728,118.915072
5,End tuning0,207.211822,118.616064
6,end testing0,284.126808,108.736512
7,end reporting0,284.28505,107.880448
8,Start preparing fold1,284.285094,107.880448
9,Start tuning1,284.303505,109.600768
10,End tuning1,305.515554,108.929024
11,end testing1,380.257723,108.638208
12,end reporting1,380.454673,106.962944
13,Start preparing fold2,380.45472,106.962944
14,Start tuning2,380.471358,107.474944
15,End tuning2,421.801167,105.086976
16,end testing2,482.344802,107.769856
17,end reporting2,482.482305,107.032576
18,Start preparing fold3,482.482349,107.032576
19,Start tuning3,482.50101,108.044288
20,End tuning3,492.439447,107.585536
21,end testing3,565.899431,108.412928
22,end reporting3,566.096149,106.586112
23,Start preparing fold4,566.096193,106.586112
24,Start tuning4,566.112119,107.819008
25,End tuning4,608.387317,105.472
26,end testing4,668.771325,107.757568
27,end reporting4,668.952494,106.868736
28,Start preparing fold5,668.95254,106.868736
29,Start tuning5,668.971876,107.9296
30,End tuning5,688.671473,107.634688
31,end testing5,758.951047,107.880448
32,end reporting5,759.171386,107.06944
33,Start preparing fold6,759.171428,107.06944
34,Start tuning6,759.187013,107.548672
35,End tuning6,806.582865,105.447424
36,end testing6,865.707115,107.577344
37,end reporting6,865.868631,107.302912
38,Start preparing fold7,865.868673,107.302912
39,Start tuning7,865.886429,108.519424
40,End tuning7,886.703597,108.527616
41,end testing7,962.973351,108.724224
42,end reporting7,963.183819,107.585536
43,Start preparing fold8,963.18387,107.585536
44,Start tuning8,963.2038,108.990464
45,End tuning8,972.465121,107.614208
46,end testing8,1046.834328,107.905024
47,end reporting8,1047.026092,107.831296
48,Start preparing fold9,1047.026139,107.831296
49,Start tuning9,1047.04307,108.068864
50,End tuning9,1082.367032,105.222144
51,end testing9,1146.781428,108.179456
52,end reporting9,1146.950414,106.790912
