,milestone,time,memory
0,start,804.569508,122.658816
1,loading data,804.584474,122.658816
2,data loaded,805.383574,120.082432
3,Start preparing fold0,805.383621,120.082432
4,Start tuning0,805.402944,123.932672
5,End tuning0,813.271851,123.5968
6,end testing0,888.037166,124.198912
7,end reporting0,888.195159,122.703872
8,Start preparing fold1,888.195202,122.703872
9,Start tuning1,888.215193,125.05088
10,End tuning1,909.043694,124.444672
11,end testing1,985.853639,121.565184
12,end reporting1,986.112848,121.188352
13,Start preparing fold2,986.112893,121.188352
14,Start tuning2,986.127928,120.91392
15,End tuning2,1028.563755,118.345728
16,end testing2,1091.566072,121.18016
17,end reporting2,1091.716856,120.832
18,Start preparing fold3,1091.716901,120.832
19,Start tuning3,1091.735884,121.921536
20,End tuning3,1101.715158,121.462784
21,end testing3,1175.440262,120.700928
22,end reporting3,1175.692218,120.582144
23,Start preparing fold4,1175.692261,120.582144
24,Start tuning4,1175.706504,121.008128
25,End tuning4,1218.021439,118.603776
26,end testing4,1278.539182,119.160832
27,end reporting4,1278.776249,118.755328
28,Start preparing fold5,1278.776293,118.755328
29,Start tuning5,1278.794409,119.980032
30,End tuning5,1297.748956,119.980032
31,end testing5,1365.968012,120.66816
32,end reporting5,1366.270647,119.1936
33,Start preparing fold6,1366.270692,119.1936
34,Start tuning6,1366.286362,120.025088
35,End tuning6,1413.467735,117.891072
36,end testing6,1472.24289,119.222272
37,end reporting6,1472.469013,119.13216
38,Start preparing fold7,1472.469055,119.13216
39,Start tuning7,1472.486912,120.5248
40,End tuning7,1492.712616,120.5248
41,end testing7,1567.186214,119.963648
42,end reporting7,1567.421247,120.066048
43,Start preparing fold8,1567.42129,120.066048
44,Start tuning8,1567.438788,121.32352
45,End tuning8,1576.579762,120.213504
46,end testing8,1650.6418,121.249792
47,end reporting8,1650.877536,119.558144
48,Start preparing fold9,1650.877582,119.558144
49,Start tuning9,1650.893324,120.410112
50,End tuning9,1684.890044,117.592064
51,end testing9,1747.949549,120.578048
52,end reporting9,1748.132126,119.103488
