,milestone,time,memory
0,start,2692.027578,120.75008
1,loading data,2692.032101,120.75008
2,data loaded,2692.558171,123.8016
3,Start preparing fold0,2692.558221,123.8016
4,Start tuning0,2692.577907,127.496192
5,End tuning0,2700.264876,126.85312
6,end testing0,2773.395217,125.005824
7,end reporting0,2773.744327,122.765312
8,Start preparing fold1,2773.744371,122.765312
9,Start tuning1,2773.763459,124.55936
10,End tuning1,2795.943962,122.241024
11,end testing1,2874.452717,124.604416
12,end reporting1,2874.782668,121.683968
13,Start preparing fold2,2874.782712,121.683968
14,Start tuning2,2874.797996,122.322944
15,End tuning2,2919.861381,117.276672
16,end testing2,2982.568729,121.307136
17,end reporting2,2982.955068,119.7056
18,Start preparing fold3,2982.955111,119.7056
19,Start tuning3,2982.972804,121.331712
20,End tuning3,2993.058908,119.640064
21,end testing3,3067.844839,123.854848
22,end reporting3,3068.179977,121.5488
23,Start preparing fold4,3068.18002,121.5488
24,Start tuning4,3068.19417,121.913344
25,End tuning4,3112.250357,119.967744
26,end testing4,3173.625216,122.7776
27,end reporting4,3174.000144,121.122816
28,Start preparing fold5,3174.000187,121.122816
29,Start tuning5,3174.018393,122.085376
30,End tuning5,3194.435622,122.085376
31,end testing5,3263.607793,124.817408
32,end reporting5,3263.947558,122.22464
33,Start preparing fold6,3263.947601,122.22464
34,Start tuning6,3263.96227,122.4704
35,End tuning6,3312.730261,121.106432
36,end testing6,3372.481982,124.3136
37,end reporting6,3372.856484,122.003456
38,Start preparing fold7,3372.856526,122.003456
39,Start tuning7,3372.874809,123.88352
40,End tuning7,3394.498173,123.895808
41,end testing7,3470.015017,126.726144
42,end reporting7,3470.338816,123.621376
43,Start preparing fold8,3470.338859,123.621376
44,Start tuning8,3470.356263,125.0304
45,End tuning8,3479.784932,123.088896
46,end testing8,3554.57674,125.472768
47,end reporting8,3554.914634,123.523072
48,Start preparing fold9,3554.914677,123.523072
49,Start tuning9,3554.929945,123.764736
50,End tuning9,3590.535046,121.970688
51,end testing9,3654.658,125.456384
52,end reporting9,3655.044965,123.994112
