,milestone,time,memory
0,start,1748.701225,115.408896
1,loading data,1748.720337,115.408896
2,data loaded,1749.461553,115.441664
3,Start preparing fold0,1749.461612,115.441664
4,Start tuning0,1749.480178,120.7296
5,End tuning0,1757.347174,120.434688
6,end testing0,1829.37436,121.135104
7,end reporting0,1829.530546,119.45984
8,Start preparing fold1,1829.530593,119.45984
9,Start tuning1,1829.548648,121.401344
10,End tuning1,1850.36315,122.294272
11,end testing1,1925.053597,121.606144
12,end reporting1,1925.310975,121.765888
13,Start preparing fold2,1925.311019,121.765888
14,Start tuning2,1925.326164,121.749504
15,End tuning2,1967.866908,120.352768
16,end testing2,2028.698011,122.908672
17,end reporting2,2028.845387,121.36448
18,Start preparing fold3,2028.84543,121.36448
19,Start tuning3,2028.863231,123.322368
20,End tuning3,2039.045833,122.413056
21,end testing3,2113.090459,124.010496
22,end reporting3,2113.35271,122.699776
23,Start preparing fold4,2113.352753,122.699776
24,Start tuning4,2113.368873,122.896384
25,End tuning4,2156.780275,121.880576
26,end testing4,2217.454481,124.43648
27,end reporting4,2217.646846,123.61728
28,Start preparing fold5,2217.64689,123.61728
29,Start tuning5,2217.664732,124.366848
30,End tuning5,2237.080845,123.88352
31,end testing5,2305.381172,124.960768
32,end reporting5,2305.658402,123.518976
33,Start preparing fold6,2305.658444,123.518976
34,Start tuning6,2305.674359,124.387328
35,End tuning6,2353.969484,122.298368
36,end testing6,2412.966168,124.710912
37,end reporting6,2413.197529,123.625472
38,Start preparing fold7,2413.19757,123.625472
39,Start tuning7,2413.215824,125.09184
40,End tuning7,2434.023317,125.566976
41,end testing7,2508.804725,126.70976
42,end reporting7,2509.049152,125.513728
43,Start preparing fold8,2509.049196,125.513728
44,Start tuning8,2509.067269,126.939136
45,End tuning8,2518.462732,125.56288
46,end testing8,2592.602449,126.619648
47,end reporting8,2592.807414,124.919808
48,Start preparing fold9,2592.807457,124.919808
49,Start tuning9,2592.825039,125.784064
50,End tuning9,2627.546621,123.068416
51,end testing9,2690.828098,126.021632
52,end reporting9,2691.009586,124.27264
