,milestone,time,memory
0,start,3979.895232,104.747008
1,loading data,3979.911934,104.747008
2,data loaded,3980.638967,107.163648
3,Start preparing fold0,3980.639018,107.163648
4,Start tuning0,3980.660753,110.645248
5,End tuning0,3988.491288,109.83424
6,end testing0,4061.766975,113.979392
7,end reporting0,4061.940272,109.858816
8,Start preparing fold1,4061.940319,109.858816
9,Start tuning1,4061.966111,112.070656
10,End tuning1,4082.84683,111.628288
11,end testing1,4159.910395,111.2064
12,end reporting1,4160.122265,109.613056
13,Start preparing fold2,4160.122311,109.613056
14,Start tuning2,4160.137916,110.370816
15,End tuning2,4202.806692,108.740608
16,end testing2,4266.255037,113.115136
17,end reporting2,4266.386944,109.64992
18,Start preparing fold3,4266.386989,109.64992
19,Start tuning3,4266.405472,111.5136
20,End tuning3,4276.342636,109.457408
21,end testing3,4349.747072,106.53696
22,end reporting3,4349.947385,105.660416
23,Start preparing fold4,4349.947431,105.660416
24,Start tuning4,4349.96263,106.774528
25,End tuning4,4391.742488,104.558592
26,end testing4,4451.512494,105.992192
27,end reporting4,4451.721933,106.323968
28,Start preparing fold5,4451.721977,106.323968
29,Start tuning5,4451.740152,107.008
30,End tuning5,4470.518538,107.13088
31,end testing5,4538.492093,107.696128
32,end reporting5,4538.82638,106.2912
33,Start preparing fold6,4538.826425,106.2912
34,Start tuning6,4538.84138,107.040768
35,End tuning6,4585.338284,105.340928
36,end testing6,4643.482935,106.283008
37,end reporting6,4643.671647,106.340352
38,Start preparing fold7,4643.67169,106.340352
39,Start tuning7,4643.690016,107.753472
40,End tuning7,4663.823793,107.753472
41,end testing7,4737.358103,108.355584
42,end reporting7,4737.568598,106.51648
43,Start preparing fold8,4737.568643,106.51648
44,Start tuning8,4737.586473,108.847104
45,End tuning8,4746.613972,106.65984
46,end testing8,4819.653657,107.118592
47,end reporting8,4819.837299,106.622976
48,Start preparing fold9,4819.837342,106.622976
49,Start tuning9,4819.852327,107.343872
50,End tuning9,4853.500401,105.463808
51,end testing9,4916.084249,107.986944
52,end reporting9,4916.307662,106.979328
