,milestone,time,memory
0,start,714.93003,121.274368
1,loading data,714.944938,121.274368
2,data loaded,715.709521,118.530048
3,Start preparing fold0,715.709566,118.530048
4,Start tuning0,715.851578,123.006976
5,End tuning0,723.433143,122.658816
6,end testing0,795.314614,123.645952
7,end reporting0,795.464135,122.83904
8,Start preparing fold1,795.464177,122.83904
9,Start tuning1,795.624997,124.264448
10,End tuning1,815.857283,123.355136
11,end testing1,890.584996,120.99584
12,end reporting1,890.785441,120.836096
13,Start preparing fold2,890.785484,120.836096
14,Start tuning2,890.92675,121.442304
15,End tuning2,932.160232,118.857728
16,end testing2,993.144467,121.737216
17,end reporting2,993.279427,120.451072
18,Start preparing fold3,993.279472,120.451072
19,Start tuning3,993.420452,122.068992
20,End tuning3,1003.203166,121.188352
21,end testing3,1078.185482,121.30304
22,end reporting3,1078.374433,120.733696
23,Start preparing fold4,1078.374479,120.733696
24,Start tuning4,1078.511485,121.274368
25,End tuning4,1121.28175,117.673984
26,end testing4,1181.862724,119.926784
27,end reporting4,1182.038302,118.996992
28,Start preparing fold5,1182.038347,118.996992
29,Start tuning5,1182.177126,120.086528
30,End tuning5,1201.403693,119.627776
31,end testing5,1270.573525,119.410688
32,end reporting5,1270.76955,118.562816
33,Start preparing fold6,1270.769594,118.562816
34,Start tuning6,1270.912406,119.640064
35,End tuning6,1320.679585,113.598464
36,end testing6,1380.434558,115.986432
37,end reporting6,1380.633565,115.03616
38,Start preparing fold7,1380.633611,115.03616
39,Start tuning7,1380.793788,116.109312
40,End tuning7,1401.214124,115.65056
41,end testing7,1476.153065,115.712
42,end reporting7,1476.365151,115.818496
43,Start preparing fold8,1476.365193,115.818496
44,Start tuning8,1476.508481,117.448704
45,End tuning8,1485.76632,116.072448
46,end testing8,1560.593703,117.137408
47,end reporting8,1560.775864,116.34688
48,Start preparing fold9,1560.775909,116.34688
49,Start tuning9,1560.92159,115.707904
50,End tuning9,1595.827332,113.676288
51,end testing9,1659.384409,116.30592
52,end reporting9,1659.543604,115.77344
