,milestone,time,memory
0,start,3586.340937,118.51776
1,loading data,3586.352262,118.51776
2,data loaded,3587.122378,118.444032
3,Start preparing fold0,3587.122425,118.444032
4,Start tuning0,3587.267631,123.523072
5,End tuning0,3594.846831,122.667008
6,end testing0,3667.245838,126.304256
7,end reporting0,3667.398717,122.30656
8,Start preparing fold1,3667.39876,122.30656
9,Start tuning1,3667.5582,123.875328
10,End tuning1,3687.834169,123.416576
11,end testing1,3762.853882,122.486784
12,end reporting1,3763.057348,121.0368
13,Start preparing fold2,3763.057392,121.0368
14,Start tuning2,3763.191698,121.675776
15,End tuning2,3805.787935,119.865344
16,end testing2,3872.88772,122.7776
17,end reporting2,3873.0282,119.431168
18,Start preparing fold3,3873.028266,119.431168
19,Start tuning3,3873.192306,120.111104
20,End tuning3,3884.442375,118.808576
21,end testing3,3967.776305,119.84896
22,end reporting3,3967.987125,119.734272
23,Start preparing fold4,3967.987181,119.734272
24,Start tuning4,3968.14269,119.885824
25,End tuning4,4014.619648,118.607872
26,end testing4,4081.120948,119.554048
27,end reporting4,4081.34559,119.369728
28,Start preparing fold5,4081.345633,119.369728
29,Start tuning5,4081.496085,119.681024
30,End tuning5,4102.404114,119.681024
31,end testing5,4176.327984,120.807424
32,end reporting5,4176.687592,119.33696
33,Start preparing fold6,4176.687636,119.33696
34,Start tuning6,4176.846103,119.74656
35,End tuning6,4228.136031,118.628352
36,end testing6,4292.376517,122.30656
37,end reporting6,4292.586961,119.627776
38,Start preparing fold7,4292.587009,119.627776
39,Start tuning7,4292.786149,120.471552
40,End tuning7,4315.83488,120.471552
41,end testing7,4397.767016,120.635392
42,end reporting7,4397.986328,119.218176
43,Start preparing fold8,4397.986371,119.218176
44,Start tuning8,4398.144488,120.909824
45,End tuning8,4408.341333,118.882304
46,end testing8,4490.056721,119.803904
47,end reporting8,4490.253849,119.074816
48,Start preparing fold9,4490.253894,119.074816
49,Start tuning9,4490.408912,119.308288
50,End tuning9,4527.168521,117.73952
51,end testing9,4594.995388,120.152064
52,end reporting9,4595.237243,119.185408
