,milestone,time,memory
0,start,2620.668248,112.201728
1,loading data,2620.672927,112.201728
2,data loaded,2621.174288,115.273728
3,Start preparing fold0,2621.174335,115.273728
4,Start tuning0,2621.316255,118.935552
5,End tuning0,2629.324316,118.29248
6,end testing0,2703.026187,121.614336
7,end reporting0,2703.352695,119.324672
8,Start preparing fold1,2703.35274,119.324672
9,Start tuning1,2703.51245,121.356288
10,End tuning1,2725.092586,120.438784
11,end testing1,2802.402958,122.433536
12,end reporting1,2802.720195,118.849536
13,Start preparing fold2,2802.720238,118.849536
14,Start tuning2,2802.856907,119.218176
15,End tuning2,2845.526117,117.690368
16,end testing2,2907.366556,120.897536
17,end reporting2,2907.653479,119.447552
18,Start preparing fold3,2907.653526,119.447552
19,Start tuning3,2907.803437,120.451072
20,End tuning3,2917.747191,119.066624
21,end testing3,2993.735708,122.916864
22,end reporting3,2994.053019,120.64768
23,Start preparing fold4,2994.053063,120.64768
24,Start tuning4,2994.189659,120.213504
25,End tuning4,3038.422572,118.894592
26,end testing4,3100.260198,121.73312
27,end reporting4,3100.609137,120.19712
28,Start preparing fold5,3100.609181,120.19712
29,Start tuning5,3100.761141,120.549376
30,End tuning5,3121.007896,120.549376
31,end testing5,3190.86974,123.691008
32,end reporting5,3191.121733,120.623104
33,Start preparing fold6,3191.121777,120.623104
34,Start tuning6,3191.286786,121.15968
35,End tuning6,3240.094279,120.057856
36,end testing6,3299.31622,123.428864
37,end reporting6,3299.683236,121.561088
38,Start preparing fold7,3299.683279,121.561088
39,Start tuning7,3299.846162,122.417152
40,End tuning7,3321.479,122.007552
41,end testing7,3398.085187,125.44
42,end reporting7,3398.394947,121.851904
43,Start preparing fold8,3398.394993,121.851904
44,Start tuning8,3398.546577,123.854848
45,End tuning8,3408.145137,121.827328
46,end testing8,3484.608228,124.203008
47,end reporting8,3484.939041,122.417152
48,Start preparing fold9,3484.939084,122.417152
49,Start tuning9,3485.076771,122.359808
50,End tuning9,3520.939468,120.7296
51,end testing9,3585.408121,124.338176
52,end reporting9,3585.770741,122.601472
