,milestone,time,memory
0,start,1659.997209,111.325184
1,loading data,1660.004233,111.325184
2,data loaded,1660.657806,113.455104
3,Start preparing fold0,1660.657852,113.455104
4,Start tuning0,1660.805267,117.809152
5,End tuning0,1668.715109,117.469184
6,end testing0,1742.282804,117.231616
7,end reporting0,1742.433839,114.896896
8,Start preparing fold1,1742.433883,114.896896
9,Start tuning1,1742.600644,116.355072
10,End tuning1,1763.88091,117.12512
11,end testing1,1840.831888,117.817344
12,end reporting1,1841.051699,115.761152
13,Start preparing fold2,1841.051744,115.761152
14,Start tuning2,1841.189639,116.867072
15,End tuning2,1885.078728,114.864128
16,end testing2,1945.626924,117.9648
17,end reporting2,1945.761115,116.404224
18,Start preparing fold3,1945.761159,116.404224
19,Start tuning3,1945.900402,117.358592
20,End tuning3,1955.934054,116.57216
21,end testing3,2029.872346,118.317056
22,end reporting3,2030.080165,117.592064
23,Start preparing fold4,2030.08021,117.592064
24,Start tuning4,2030.222543,117.149696
25,End tuning4,2073.325066,115.597312
26,end testing4,2135.294324,118.214656
27,end reporting4,2135.447547,117.080064
28,Start preparing fold5,2135.447592,117.080064
29,Start tuning5,2135.592757,117.51424
30,End tuning5,2155.303961,117.59616
31,end testing5,2224.947775,118.562816
32,end reporting5,2225.176824,117.501952
33,Start preparing fold6,2225.176867,117.501952
34,Start tuning6,2225.321532,117.477376
35,End tuning6,2274.377677,114.25792
36,end testing6,2334.314324,116.40832
37,end reporting6,2334.485375,115.679232
38,Start preparing fold7,2334.48542,115.679232
39,Start tuning7,2334.652653,116.506624
40,End tuning7,2356.12908,116.994048
41,end testing7,2433.249804,117.989376
42,end reporting7,2433.456985,116.867072
43,Start preparing fold8,2433.457028,116.867072
44,Start tuning8,2433.603992,118.206464
45,End tuning8,2443.234244,117.153792
46,end testing8,2519.46344,117.956608
47,end reporting8,2519.634633,117.436416
48,Start preparing fold9,2519.634676,117.436416
49,Start tuning9,2519.777159,116.707328
50,End tuning9,2556.106461,114.475008
51,end testing9,2619.491625,117.26848
52,end reporting9,2619.647432,116.269056
