,milestone,time,memory
0,start,898.203644,113.881088
1,loading data,898.209157,113.881088
2,data loaded,898.79185,111.26784
3,Start preparing fold0,898.791905,111.26784
4,Start tuning0,898.814911,115.130368
5,End tuning0,907.596237,114.794496
6,end testing0,990.064519,115.052544
7,end reporting0,990.235594,113.668096
8,Start preparing fold1,990.235643,113.668096
9,Start tuning1,990.257117,116.273152
10,End tuning1,1013.658328,115.666944
11,end testing1,1098.486859,113.9712
12,end reporting1,1098.713603,112.431104
13,Start preparing fold2,1098.713649,112.431104
14,Start tuning2,1098.730159,112.861184
15,End tuning2,1142.297272,110.583808
16,end testing2,1206.447718,113.598464
17,end reporting2,1206.598828,111.947776
18,Start preparing fold3,1206.598874,111.947776
19,Start tuning3,1206.618935,114.139136
20,End tuning3,1216.929382,113.680384
21,end testing3,1294.651971,113.901568
22,end reporting3,1294.849062,112.697344
23,Start preparing fold4,1294.849107,112.697344
24,Start tuning4,1294.864123,112.889856
25,End tuning4,1337.408298,110.751744
26,end testing4,1397.737173,112.185344
27,end reporting4,1397.896793,112.242688
28,Start preparing fold5,1397.896837,112.242688
29,Start tuning5,1397.915654,113.078272
30,End tuning5,1416.818631,112.61952
31,end testing5,1485.173866,113.184768
32,end reporting5,1485.395761,112.070656
33,Start preparing fold6,1485.395805,112.070656
34,Start tuning6,1485.411315,113.262592
35,End tuning6,1532.495371,110.841856
36,end testing6,1591.726704,113.139712
37,end reporting6,1591.866721,112.381952
38,Start preparing fold7,1591.866766,112.381952
39,Start tuning7,1591.886251,113.803264
40,End tuning7,1612.102,113.803264
41,end testing7,1686.271019,113.164288
42,end reporting7,1686.49278,112.201728
43,Start preparing fold8,1686.492825,112.201728
44,Start tuning8,1686.51129,114.335744
45,End tuning8,1695.697477,112.959488
46,end testing8,1769.849093,114.089984
47,end reporting8,1770.022071,112.480256
48,Start preparing fold9,1770.022116,112.480256
49,Start tuning9,1770.037103,113.733632
50,End tuning9,1804.207302,110.55104
51,end testing9,1867.784219,113.58208
52,end reporting9,1867.948936,112.193536
