,milestone,time,memory
0,start,3761.455741,118.697984
1,loading data,3761.462786,118.697984
2,data loaded,3762.14585,118.792192
3,Start preparing fold0,3762.145897,118.792192
4,Start tuning0,3762.164667,124.04736
5,End tuning0,3769.7624,123.236352
6,end testing0,3842.332912,126.738432
7,end reporting0,3842.502942,123.1872
8,Start preparing fold1,3842.502988,123.1872
9,Start tuning1,3842.521979,125.300736
10,End tuning1,3862.708944,124.841984
11,end testing1,3937.137031,124.788736
12,end reporting1,3937.379718,123.285504
13,Start preparing fold2,3937.379764,123.285504
14,Start tuning2,3937.3955,123.572224
15,End tuning2,3978.707522,122.073088
16,end testing2,4040.178442,126.34112
17,end reporting2,4040.321647,122.957824
18,Start preparing fold3,4040.321692,122.957824
19,Start tuning3,4040.340904,124.469248
20,End tuning3,4050.217627,122.863616
21,end testing3,4124.59906,124.350464
22,end reporting3,4124.813948,122.834944
23,Start preparing fold4,4124.813994,122.834944
24,Start tuning4,4124.830204,123.86304
25,End tuning4,4166.950122,122.187776
26,end testing4,4227.447901,124.174336
27,end reporting4,4227.67357,123.441152
28,Start preparing fold5,4227.673615,123.441152
29,Start tuning5,4227.690978,123.895808
30,End tuning5,4247.380642,123.895808
31,end testing5,4315.619584,124.530688
32,end reporting5,4315.951052,123.16672
33,Start preparing fold6,4315.951098,123.16672
34,Start tuning6,4315.966544,123.957248
35,End tuning6,4363.906062,121.974784
36,end testing6,4422.58912,126.070784
37,end reporting6,4422.784448,123.588608
38,Start preparing fold7,4422.784492,123.588608
39,Start tuning7,4422.802694,124.8256
40,End tuning7,4443.063931,124.448768
41,end testing7,4517.527415,124.02688
42,end reporting7,4517.758473,123.666432
43,Start preparing fold8,4517.758518,123.666432
44,Start tuning8,4517.77605,125.39904
45,End tuning8,4526.934828,123.396096
46,end testing8,4600.825552,125.558784
47,end reporting8,4601.012121,122.998784
48,Start preparing fold9,4601.012165,122.998784
49,Start tuning9,4601.026721,124.391424
50,End tuning9,4635.218515,122.011648
51,end testing9,4698.391601,124.657664
52,end reporting9,4698.632478,123.203584
