,milestone,time,memory
0,start,2811.291738,112.88576
1,loading data,2811.296882,112.88576
2,data loaded,2811.838765,115.085312
3,Start preparing fold0,2811.838817,115.085312
4,Start tuning0,2811.859044,119.56224
5,End tuning0,2819.492801,118.919168
6,end testing0,2892.278156,122.216448
7,end reporting0,2892.552504,119.939072
8,Start preparing fold1,2892.55255,119.939072
9,Start tuning1,2892.570233,121.749504
10,End tuning1,2913.944079,119.414784
11,end testing1,2988.910165,121.99936
12,end reporting1,2989.188782,119.533568
13,Start preparing fold2,2989.188826,119.533568
14,Start tuning2,2989.203707,119.406592
15,End tuning2,3031.723204,117.88288
16,end testing2,3093.046323,121.397248
17,end reporting2,3093.324991,119.451648
18,Start preparing fold3,3093.325034,119.451648
19,Start tuning3,3093.345073,120.991744
20,End tuning3,3103.281676,119.422976
21,end testing3,3177.843328,122.81856
22,end reporting3,3178.109302,120.229888
23,Start preparing fold4,3178.109347,120.229888
24,Start tuning4,3178.125249,120.614912
25,End tuning4,3221.463004,119.128064
26,end testing4,3282.865841,122.089472
27,end reporting4,3283.161751,119.902208
28,Start preparing fold5,3283.161795,119.902208
29,Start tuning5,3283.180661,120.91392
30,End tuning5,3302.960715,120.430592
31,end testing5,3372.334984,124.018688
32,end reporting5,3372.61839,121.823232
33,Start preparing fold6,3372.618435,121.823232
34,Start tuning6,3372.63331,121.73312
35,End tuning6,3420.698887,120.369152
36,end testing6,3480.596478,123.953152
37,end reporting6,3480.888754,121.962496
38,Start preparing fold7,3480.8888,121.962496
39,Start tuning7,3480.906781,123.1872
40,End tuning7,3502.007115,123.1872
41,end testing7,3577.542485,125.526016
42,end reporting7,3577.817556,122.478592
43,Start preparing fold8,3577.817601,122.478592
44,Start tuning8,3577.834396,124.014592
45,End tuning8,3587.299133,122.14272
46,end testing8,3661.596378,124.90752
47,end reporting8,3661.85669,122.228736
48,Start preparing fold9,3661.856752,122.228736
49,Start tuning9,3661.872859,122.79808
50,End tuning9,3696.739217,120.680448
51,end testing9,3760.677883,124.792832
52,end reporting9,3760.967531,123.035648
