,milestone,time,memory
0,start,1868.429421,108.35968
1,loading data,1868.441239,108.35968
2,data loaded,1869.120389,108.52352
3,Start preparing fold0,1869.120439,108.52352
4,Start tuning0,1869.139034,113.750016
5,End tuning0,1876.979262,113.80736
6,end testing0,1948.82436,114.622464
7,end reporting0,1948.991361,112.500736
8,Start preparing fold1,1948.991406,112.500736
9,Start tuning1,1949.010142,114.716672
10,End tuning1,1969.771997,115.499008
11,end testing1,2044.669567,116.240384
12,end reporting1,2044.884344,115.126272
13,Start preparing fold2,2044.884389,115.126272
14,Start tuning2,2044.899252,114.999296
15,End tuning2,2087.554855,112.816128
16,end testing2,2148.290165,115.99872
17,end reporting2,2148.439836,115.249152
18,Start preparing fold3,2148.43988,115.249152
19,Start tuning3,2148.45811,115.863552
20,End tuning3,2158.656316,115.408896
21,end testing3,2232.752692,115.171328
22,end reporting3,2232.968028,114.962432
23,Start preparing fold4,2232.968073,114.962432
24,Start tuning4,2232.98259,115.216384
25,End tuning4,2276.251437,113.491968
26,end testing4,2336.882855,114.868224
27,end reporting4,2337.072422,114.52416
28,Start preparing fold5,2337.072469,114.52416
29,Start tuning5,2337.089373,115.945472
30,End tuning5,2356.567841,115.470336
31,end testing5,2424.639626,116.457472
32,end reporting5,2424.894645,115.273728
33,Start preparing fold6,2424.894689,115.273728
34,Start tuning6,2424.91038,115.65056
35,End tuning6,2473.128674,114.282496
36,end testing6,2532.172883,115.662848
37,end reporting6,2532.379583,115.838976
38,Start preparing fold7,2532.379627,115.838976
39,Start tuning7,2532.398063,117.092352
40,End tuning7,2553.196946,117.645312
41,end testing7,2628.035568,118.972416
42,end reporting7,2628.276439,117.84192
43,Start preparing fold8,2628.276485,117.84192
44,Start tuning8,2628.294909,119.017472
45,End tuning8,2637.746544,117.63712
46,end testing8,2711.696234,118.902784
47,end reporting8,2711.885713,116.71552
48,Start preparing fold9,2711.885757,116.71552
49,Start tuning9,2711.901951,117.989376
50,End tuning9,2746.642847,115.269632
51,end testing9,2810.242668,118.4768
52,end reporting9,2810.424208,117.026816
