,milestone,time,memory
0,start,206.821211,116.330496
1,loading data,206.83416,116.330496
2,data loaded,207.537819,113.68448
3,Start preparing fold0,207.53788,113.68448
4,Start tuning0,207.558852,118.636544
5,End tuning0,216.056361,118.382592
6,end testing0,293.974963,109.314048
7,end reporting0,294.140196,108.07296
8,Start preparing fold1,294.140245,108.07296
9,Start tuning1,294.163354,110.288896
10,End tuning1,316.559894,109.297664
11,end testing1,396.527432,108.007424
12,end reporting1,396.742635,106.901504
13,Start preparing fold2,396.742681,106.901504
14,Start tuning2,396.758767,107.900928
15,End tuning2,440.935367,105.054208
16,end testing2,505.598777,107.3152
17,end reporting2,505.875401,106.88512
18,Start preparing fold3,505.875448,106.88512
19,Start tuning3,505.895138,108.42112
20,End tuning3,516.476792,107.106304
21,end testing3,594.604904,107.45856
22,end reporting3,594.801371,107.66336
23,Start preparing fold4,594.801414,107.66336
24,Start tuning4,594.81753,108.376064
25,End tuning4,638.9957,105.652224
26,end testing4,704.052437,108.015616
27,end reporting4,704.249465,107.393024
28,Start preparing fold5,704.249518,107.393024
29,Start tuning5,704.271044,108.35968
30,End tuning5,724.739323,108.019712
31,end testing5,799.730453,107.982848
32,end reporting5,799.964393,106.893312
33,Start preparing fold6,799.964438,106.893312
34,Start tuning6,799.982855,107.732992
35,End tuning6,853.167352,105.14432
36,end testing6,917.619195,106.450944
37,end reporting6,917.798875,106.749952
38,Start preparing fold7,917.79892,106.749952
39,Start tuning7,917.817741,107.999232
40,End tuning7,940.842541,108.027904
41,end testing7,1025.692503,107.17184
42,end reporting7,1025.909768,107.56096
43,Start preparing fold8,1025.909815,107.56096
44,Start tuning8,1025.928513,108.797952
45,End tuning8,1035.71666,107.90912
46,end testing8,1114.09029,107.06944
47,end reporting8,1114.277549,106.590208
48,Start preparing fold9,1114.277597,106.590208
49,Start tuning9,1114.295166,108.068864
50,End tuning9,1151.188733,104.902656
51,end testing9,1222.225133,107.544576
52,end reporting9,1222.397294,106.676224
