,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,94.17880892539806,97.3938899383216,95.75937078098481,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",189,146,239,83.31090174966353,83.01188346211545,83.31090174966353,83.31090174966353,71.39561707035756,92.32970388521994,98.79492962388012,95.45296626663963,91.6564272404804,99.7386256002467,95.52687955839642
1,98.5242412447962,91.91213491515417,95.1033992171642,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",687,184,256,84.49808509890727,84.24185109530607,84.49808509890727,84.49808509890727,73.15730234538982,94.60949614171683,96.25852611778427,95.42688762150182,91.78750234072449,98.9054834532111,95.21364675449755
2,95.97296929517832,94.97275593761347,95.47024295376812,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",263,126,223,75.9422164726175,75.51253187445167,75.9422164726175,75.9422164726175,61.21519691334423,91.63757637590622,97.3144180468134,94.39072017722474,88.05045516462334,99.07098217426287,93.23619140710106
3,98.68722172874432,89.3734243407405,93.79968780191244,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",926,107,241,61.360249769389064,60.710887399694116,61.360249769389064,61.360249769389064,44.2587711441513,88.66816928694455,94.33672277232402,91.41465466445537,79.33938074639477,97.30055490840434,87.40680009983512
4,97.3625286364163,94.38373626907077,95.84999457318136,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",441,117,204,78.59650643665206,78.13121220693495,78.59650643665206,78.59650643665206,64.7399050305259,90.05972801500171,97.43947835674456,93.60437399754666,88.69073011304174,98.98035636666062,93.55346353747088
5,97.1914642456713,96.14466992780645,96.66523321828329,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",398,143,245,77.75686575763395,77.36205376879094,77.75686575763395,77.75686575763395,63.60837051467354,92.2237753232619,98.30871661430211,95.16908009922643,89.1015009094216,99.51299640355424,94.01989206415645
6,98.99810126368435,89.42878873085799,93.97045488488975,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",789,135,200,78.68918196399929,78.20420843603742,78.68918196399929,78.68918196399929,64.86575825467366,94.41296532417867,95.25124545602966,94.83025286986178,87.80158278662952,97.51271259705247,92.40269877844328
7,98.60354628422078,91.5344002343486,94.93756123241307,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",758,183,256,83.3596851832332,83.09040073760421,83.3596851832332,83.3596851832332,71.46730126216224,94.24690501869503,95.98548194951823,95.10824885965923,91.22677319637785,98.40808859487218,94.6814556578298
8,97.41586009229863,95.19583532076132,96.2930538053713,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",428,155,246,82.65450431339274,82.36186802474906,82.65450431339274,82.65450431339274,70.43687857788491,92.98102627703622,97.70831591454274,95.2860750907374,91.58528308221288,99.3085524382163,95.2906819934001
9,97.45391620300911,93.68217677926624,95.53083212189259,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False), 'kernel': 'kinematic'}",446,139,241,75.5112198763947,75.0594788862101,75.5112198763947,75.5112198763947,60.657048612268014,91.7867370974781,97.08484658889707,94.36148218888385,88.45750137662482,99.14997230147233,93.49903433376652
