,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,92.84644463970302,97.68660529545998,95.20504703716077,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",157,134,239,75.27554472372776,74.81282698888265,75.27554472372776,75.27554472372776,60.35347643490434,91.30710953730295,98.69776289657572,94.85869843701492,87.75669409645711,99.54154030845366,93.2783646412215
1,98.77725096100657,86.36586917330948,92.15555109591398,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1080,195,256,76.5503671691086,76.23989605215002,76.5503671691086,76.5503671691086,62.00939234381671,93.07983408549966,92.11539316035002,92.59510236409831,86.84286541980124,95.05713139883032,90.76452791246494
2,94.46771571067872,97.95557073448256,96.18003287829276,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",139,55,223,47.89995687796464,46.73306588874796,47.89995687796464,47.89995687796464,31.492401905193923,87.10534963301983,98.6357679662493,92.51266672743839,69.49016790603683,99.35504927508853,81.78139922118282
3,98.31899403061409,91.9328985208294,95.01876674832475,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",684,166,241,78.31902362875186,77.95113978920594,78.31902362875186,78.31902362875186,64.36423010758958,92.76628779908158,96.54420793316517,94.61755138108617,89.34080804876321,98.71399279954241,93.79380736517234
4,98.0585550761079,91.17367488245843,94.49086788133562,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",613,132,204,79.51540895496511,79.08971605289128,79.51540895496511,79.51540895496511,65.99633053926682,90.81185206109001,95.75901746513087,93.21984455174173,89.05077341731135,97.97149204510322,93.29837939769517
5,96.51298093035655,91.59159506011027,93.98790880946312,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",395,181,245,77.10773958133282,76.79760915096317,77.10773958133282,77.10773958133282,62.74417877793405,92.48872315901431,93.1208088816617,92.80368974921018,89.71531396346973,95.1957396263112,92.37431189490788
6,99.29124892402919,82.68677812772279,90.23148127076756,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1119,156,200,74.86187845303867,74.4079882309248,74.86187845303867,74.86187845303867,59.82339955849889,94.66891846889564,90.30726542778905,92.43666906554134,84.09468533224681,93.23027023331849,88.42715018543883
7,98.77725096100657,86.36586917330948,92.15555109591398,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1080,195,256,76.5503671691086,76.23989605215002,76.5503671691086,76.5503671691086,62.00939234381671,93.07983408549966,92.11539316035002,92.59510236409831,86.84286541980124,95.05713139883032,90.76452791246494
8,97.9483155469803,93.39721165094026,95.61864018417272,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",521,165,246,78.80780653372932,78.44809072541912,78.80780653372932,78.80780653372932,65.02713110449851,93.19791238475584,97.1686366058911,95.14186319978884,89.70020736235891,98.98249119680248,94.11302735647612
9,99.26091492547816,81.39903263313468,89.4469699831218,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': GaussianNB(priors=None, var_smoothing=1e-09), 'kernel': 'Linear Regression'}",1459,195,241,73.23406196855946,72.8884510319717,73.23406196855946,73.23406196855946,57.77108827956285,94.31694478775087,89.4805095422229,91.83509433076333,83.6224305835863,93.94055215428935,88.48170018750398
