,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,96.24571822955048,87.62224926895806,91.73176196498697,"{'theta_time': 2000, 'theta_distance': 100}",361,172,239,73.80961041795496,73.43745181445766,73.80961041795496,73.80961041795496,58.490674814793465,92.58903074437505,88.03816259726707,90.2562675375128,83.41235087932877,93.07647718777544,87.97982125924318
1,96.43252785979968,88.010228559131,92.029082434648,"{'theta_time': 2000, 'theta_distance': 100}",379,182,256,73.66220442008363,73.30953596593555,73.66220442008363,73.66220442008363,58.30575409516923,92.7296943880371,88.39852264298199,90.51232462177764,83.56037051838969,93.26111884755716,88.14464433939162
2,96.60340192232823,87.85883602752571,92.02384773735982,"{'theta_time': 2000, 'theta_distance': 100}",317,159,223,73.2557136696852,72.86871617988126,73.2557136696852,73.2557136696852,57.798040283070215,93.27916904918632,88.22305785391154,90.68068935578113,83.56710957436948,93.68800849584488,88.33861788606193
3,96.69024492355034,88.13114174430196,92.2125067264296,"{'theta_time': 2000, 'theta_distance': 100}",368,179,241,74.18221812247215,73.83095058847606,74.18221812247215,74.18221812247215,58.96004286157404,93.35653035240493,88.40529092327507,90.81347411098163,83.84499211825282,93.23835568993933,88.29253901851254
4,94.92286228078959,87.77893222210776,91.21122775115121,"{'theta_time': 60, 'theta_distance': 6000}",313,77,204,41.21624550301244,39.9398642157052,41.21624550301244,41.21624550301244,25.95747004067371,83.14149880184661,91.75411963100386,87.23574776453896,62.87325325192903,91.62333059267921,74.57325883571345
5,95.64798784570868,85.44258443015423,90.25772213731756,"{'theta_time': 2000, 'theta_distance': 200}",342,173,245,71.41156135970809,71.00845506226868,71.41156135970809,71.41156135970809,55.534978194635286,91.97039305185044,86.2793526474609,89.0340229559929,81.84474021431753,92.32484172049098,86.76948755345678
6,97.18202536389903,86.87314918018032,91.73888871076724,"{'theta_time': 2000, 'theta_distance': 100}",310,147,200,74.7193013723044,74.25042275408246,74.7193013723044,74.7193013723044,59.64151077601536,94.23985583353318,87.35892965245341,90.66903078880192,83.070371350607,92.2724134687985,87.42992943980585
7,96.43252785979968,88.010228559131,92.029082434648,"{'theta_time': 2000, 'theta_distance': 100}",379,182,256,73.66220442008363,73.30953596593555,73.66220442008363,73.66220442008363,58.30575409516923,92.7296943880371,88.39852264298199,90.51232462177764,83.56037051838969,93.26111884755716,88.14464433939162
8,94.49602735267766,86.85137580173429,90.51257245068194,"{'theta_time': 2000, 'theta_distance': 500}",305,170,246,72.75491443925894,72.37997791166212,72.75491443925894,72.75491443925894,57.17699360933592,90.5921498942708,87.55580371115347,89.04810112477944,83.9277765885102,92.29232475330559,87.91153283591508
9,95.71177925350423,81.56953614462051,88.07657388768716,"{'theta_time': 600, 'theta_distance': 1000}",372,166,241,61.752872371313615,61.27252671559869,61.752872371313615,61.752872371313615,44.668466846684666,91.99689504419636,83.898937018718,87.76150762310174,76.27317121084467,89.77708810117832,82.47603153314024
