,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,89.06355525505047,87.87633285610951,88.46596107288572,"{'num_k': 153, 'delta': 1}",153,98,239,44.07624313411662,43.67529028805839,44.07624313411662,44.07624313411662,28.267817566779424,82.57932150708407,89.18487646332903,85.75508370264025,70.32273032037249,84.86890209465841,76.91410705221392
1,94.83066880958124,76.6442871228316,84.77306751612733,"{'num_k': 405, 'delta': 1}",405,174,256,37.749903376550364,37.53194914746836,37.749903376550364,37.749903376550364,23.26649053661917,88.80725007471143,81.93917323119403,85.23508144028071,57.52567959675892,82.84210660964045,67.90088539174324
2,94.09566478503383,78.62574225386051,85.66791590492,"{'num_k': 297, 'delta': 1}",297,148,223,41.95342820181113,41.69398362935046,41.95342820181113,41.95342820181113,26.54497830891381,88.78926114449715,82.43649200575463,85.49502725927344,62.57030802548147,83.22073651246214,71.43301749699688
3,88.15762380579272,88.06287457264133,88.11022371710321,"{'num_k': 153, 'delta': 1}",153,105,241,44.75626197402966,44.39394975482006,44.75626197402966,44.75626197402966,28.82967296661106,83.40388936668477,89.4946121293286,86.34197132264902,71.97998074695877,85.7888412771318,78.28009443448772
4,95.90124997586571,70.02321809838841,80.94422987648682,"{'num_k': 468, 'delta': 1}",468,156,204,32.84643058384986,32.62654269159474,32.84643058384986,32.84643058384986,19.650451198008508,89.12575722333422,78.37762096437548,83.40685296490322,49.00453284903606,80.54902229201006,60.936455268543114
5,84.80305215906299,91.46392955442076,88.0076383367614,"{'num_k': 99, 'delta': 1}",99,77,245,45.3504897253697,44.84499832785903,45.3504897253697,45.3504897253697,29.324690162183643,80.63057586304157,91.77221404615904,85.84137728473289,72.59481512132544,86.17871632045498,78.80567903058324
6,97.09016037016302,68.37693401219862,80.242268272671,"{'num_k': 504, 'delta': 1}",504,147,200,28.020851898057387,27.786439765928563,28.020851898057387,28.020851898057387,16.29316821679318,90.59847547425912,78.32571293084143,84.0162708368464,44.410902594454434,78.76315225061643,56.79674485075685
7,94.83066880958124,76.6442871228316,84.77306751612733,"{'num_k': 405, 'delta': 1}",405,174,256,37.749903376550364,37.53194914746836,37.749903376550364,37.749903376550364,23.26649053661917,88.80725007471143,81.93917323119403,85.23508144028071,57.52567959675892,82.84210660964045,67.90088539174324
8,86.20880931466763,91.2817071779775,88.67276340761201,"{'num_k': 108, 'delta': 1}",108,86,246,47.613491726771315,47.15264070273671,47.613491726771315,47.613491726771315,31.24521472819656,82.33443071351698,91.8278237806302,86.82239003622247,74.923698224622,86.9303214800358,80.4816733625077
9,88.34421445093373,89.08273259740822,88.7119365280671,"{'num_k': 135, 'delta': 1}",135,91,241,45.53486249948152,45.10885589608783,45.53486249948152,45.53486249948152,29.479054779806656,82.77691501974415,90.11470299878543,86.29009546732897,71.64131398510676,87.39789319806496,78.73907345410763
