,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,71.5893277214484,99.77177634081399,83.36307626984467,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",9,7,239,16.634534938707212,13.32200643596535,16.634534938707212,16.634534938707212,9.071792735424228,63.47199278471937,99.809813617345,77.59747285211577,24.70689571502173,99.95216750828278,39.620188300209556
1,98.35829667361382,91.26999193421203,94.68166390120642,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",850,94,256,55.50050946909807,54.63768414325031,55.50050946909807,55.50050946909807,38.40879249136799,85.27697345592998,95.02698749186075,89.88836237809443,73.94320831798655,97.06711538810613,83.94176185882577
2,96.16387119568678,97.55667416798168,96.85526572680013,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",136,22,223,26.929711082363088,24.30162994070023,26.929711082363088,26.929711082363088,15.559985050454717,76.07846463759468,98.9487272046222,86.01940263496952,42.77967212359767,99.12208281304932,59.76543707783609
3,99.01978174315295,88.6949924930444,93.57344230476974,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",1168,91,241,54.56609664372384,53.71332740508146,54.56609664372384,54.56609664372384,37.51951600312256,87.43497900983974,93.50241018000293,90.36696404279637,71.92096693981159,96.32737004918019,82.35395036516017
4,99.31363766173783,75.7763903795847,85.96296501473365,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",2511,105,204,47.94330544839842,47.20603475687612,47.94330544839842,47.94330544839842,31.529887973546934,84.882056081991,85.94353837357752,85.40949928915,68.68662866664901,91.29310341463753,78.39262402166122
5,99.06048195289769,85.85458089332352,91.98597486057061,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",1563,103,245,52.14518916842712,51.2697536213689,52.14518916842712,52.14518916842712,35.26783394814777,85.74827732156064,92.46242817613282,88.97887375429909,70.43079280256194,95.22424612616128,80.97211158880042
6,99.15666044204507,80.32529726338277,88.75307944571978,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",1487,99,200,54.13473534129388,53.20060306379955,54.13473534129388,54.13473534129388,37.11283523733887,87.26377737335945,88.3268310167881,87.79208624663347,70.95673085623832,91.38326776175902,79.88490810071792
7,98.57794325250072,90.15301939193772,94.17743760893089,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",897,92,256,54.351568813464034,53.44486646249147,54.351568813464034,54.351568813464034,37.31696137794611,86.54492300535415,94.2731313293705,90.24387440062357,71.57742634779997,96.55268659203739,82.21005377777576
8,97.5247676785946,97.7402230155906,97.63237648041282,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",214,24,246,22.058407580257388,19.53684260797388,22.058407580257388,22.058407580257388,12.396431480855968,78.86099664928659,98.74050131803692,87.6881606598077,38.409933813053456,99.06764040427346,55.3571232632928
9,98.36679914715224,95.98686553088844,97.1622607485458,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",365,38,241,30.129827035546892,27.614243263010096,30.129827035546892,30.129827035546892,17.736973189432046,84.47826857150976,98.36631774973552,90.8948564072097,45.331934900054485,98.82970421549284,62.15442256587376
