,Purity,Coverage,Harmonic mean,best parameters,k_segment1,k_segment2,k_tsid,acc,kappa,pr,re,j,p2,c2,h2,homo,comp,v_measure
0,51.9854366029235,100.0,68.408444604782,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",4,4,222,13.183526064276075,9.590626383583823,13.183526064276075,13.183526064276075,7.056939779739125,51.9854366029235,100.0,68.408444604782,18.33113257560595,99.99999999999991,30.982772118560664
1,98.58434293389882,91.9625006159354,95.15836136544749,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",779,82,239,54.08519184018603,53.11166473141146,54.08519184018603,54.08519184018603,37.0662803332126,87.00110842424768,95.67710246045687,91.13307957820626,71.04783428416219,97.30378463155787,82.12838356114199
2,96.94819750143424,97.23684363156654,97.09230603764699,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",159,19,210,20.44256201918921,17.431952797205298,20.44256201918921,20.44256201918921,11.384970875655899,77.40091020864432,98.93190183635308,86.85189287234782,36.40358329311048,99.09250206321076,53.246145718445646
3,98.81376219178468,92.37102173606024,95.48383493410284,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",851,70,228,46.757448624048926,45.56649744185697,46.757448624048926,46.757448624048926,30.512053084615204,85.87377052045538,95.81787718823479,90.5737000152275,66.62554021308047,97.50516329057373,79.16049878692519
4,97.39796085079854,89.55126488633209,93.30994078362889,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",443,57,191,46.56873397366248,45.46211671570083,46.56873397366248,46.56873397366248,30.35152819873665,80.30545028505433,92.65723401787233,86.04030320136499,66.70774266698474,91.5794108071391,77.18953352351998
5,98.94182149926863,87.71424743010596,92.99035881288134,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",1209,90,228,49.142813113996226,48.20080515980624,49.142813113996226,49.142813113996226,32.575718882476124,86.21886568145439,94.23401314189486,90.04843563242903,69.92802246825464,95.48270037577282,80.73136133384298
6,98.9689385204673,84.60211795650434,91.2233330398571,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",992,88,184,50.47827641694976,49.46748596766154,50.47827641694976,50.47827641694976,33.759827807838334,88.54165390095251,90.51070297154575,89.51535156328828,69.3577828348186,92.24534976973455,79.18080341310007
7,98.34272660904628,91.86723579588123,94.99475568971664,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",765,86,239,55.03646548990593,54.1162064618668,55.03646548990593,55.03646548990593,37.965730951512946,85.65001226116155,95.36229193413588,90.24559418456812,72.13017749037765,96.58993028388171,82.58705980061627
8,96.71909207380331,97.77462610679709,97.24399485359058,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",206,26,232,27.270472343290457,24.95109602146114,27.270472343290457,27.270472343290457,15.787962089197064,74.87383999193665,98.780721543927,85.18166034631433,46.34196316868523,98.50448432675316,63.030764834801865
9,98.90698821474722,95.32707530899403,97.08404121381669,"{'window_size': 7, 'majority_vote_degree': 0.9, 'binary_classifier': RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=None, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=1, min_samples_split=2,
                       min_weight_fraction_leaf=0.0, n_estimators=100,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)}",435,38,225,30.392809587217045,27.994956858307606,30.392809587217045,30.392809587217045,17.919528949950934,87.30262824776413,98.19710596053386,92.4299484661504,46.29105318170719,98.70980308897273,63.02556911550376
