,milestone,time,memory
0,start,19716.779114,144.637952
1,loading data,19716.784881,144.646144
2,data loaded,19716.881014,146.481152
3,Start preparing fold0,19716.881064,146.481152
4,Start tuning0,19716.900321,146.82112
5,End tuning0,19719.515829,146.825216
6,end testing0,19721.07694,146.825216
7,end reporting0,19721.099989,146.702336
8,Start preparing fold1,19721.100031,146.702336
9,Start tuning1,19721.118096,146.280448
10,End tuning1,19725.948945,146.284544
11,end testing1,19727.512535,146.284544
12,end reporting1,19727.537041,146.333696
13,Start preparing fold2,19727.537084,146.333696
14,Start tuning2,19727.554965,146.374656
15,End tuning2,19731.352226,146.374656
16,end testing2,19732.976008,146.374656
17,end reporting2,19733.001446,146.378752
18,Start preparing fold3,19733.001493,146.378752
19,Start tuning3,19733.01957,146.321408
20,End tuning3,19735.539883,146.321408
21,end testing3,19737.253659,146.321408
22,end reporting3,19737.280221,146.3296
23,Start preparing fold4,19737.280265,146.3296
24,Start tuning4,19737.297806,146.386944
25,End tuning4,19741.35261,146.386944
26,end testing4,19743.061966,146.386944
27,end reporting4,19743.095349,146.386944
28,Start preparing fold5,19743.095394,146.386944
29,Start tuning5,19743.113391,146.419712
30,End tuning5,19746.565034,146.419712
31,end testing5,19748.155496,146.419712
32,end reporting5,19748.179707,146.419712
33,Start preparing fold6,19748.179758,146.419712
34,Start tuning6,19748.19839,146.444288
35,End tuning6,19752.111802,146.444288
36,end testing6,19753.752302,146.444288
37,end reporting6,19753.778531,146.382848
38,Start preparing fold7,19753.778575,146.382848
39,Start tuning7,19753.797487,146.382848
40,End tuning7,19756.828633,146.382848
41,end testing7,19758.34373,146.382848
42,end reporting7,19758.366125,146.39104
43,Start preparing fold8,19758.36617,146.39104
44,Start tuning8,19758.383729,146.39104
45,End tuning8,19761.645311,146.39104
46,end testing8,19763.415177,146.39104
47,end reporting8,19763.444554,146.39104
48,Start preparing fold9,19763.444597,146.39104
49,Start tuning9,19763.462192,146.419712
50,End tuning9,19767.800376,146.419712
51,end testing9,19769.434019,146.419712
52,end reporting9,19769.460987,146.419712
