,milestone,time,memory
0,start,1136.252624,170.96704
1,loading data,1136.257144,170.96704
2,data loaded,1136.342459,163.319808
3,Start preparing fold0,1136.342508,163.319808
4,Start tuning0,1136.359269,160.23552
5,End tuning0,1136.937954,160.23552
6,end testing0,1138.815512,160.23552
7,end reporting0,1147.001968,191.36512
8,Start preparing fold1,1147.002013,191.36512
9,Start tuning1,1147.01828,191.36512
10,End tuning1,1148.110531,191.36512
11,end testing1,1149.874428,191.36512
12,end reporting1,1153.191534,199.39328
13,Start preparing fold2,1153.191582,199.39328
14,Start tuning2,1153.208702,193.466368
15,End tuning2,1154.059318,193.466368
16,end testing2,1155.901006,193.466368
17,end reporting2,1160.995904,182.59968
18,Start preparing fold3,1160.995948,182.59968
19,Start tuning3,1161.014427,182.59968
20,End tuning3,1161.569843,182.59968
21,end testing3,1163.424724,182.59968
22,end reporting3,1169.000709,198.26688
23,Start preparing fold4,1169.000754,198.26688
24,Start tuning4,1169.018267,192.34816
25,End tuning4,1169.929427,192.34816
26,end testing4,1171.697603,192.34816
27,end reporting4,1175.885945,184.029184
28,Start preparing fold5,1175.88602,184.029184
29,Start tuning5,1175.905576,184.029184
30,End tuning5,1176.67575,184.029184
31,end testing5,1178.469715,184.029184
32,end reporting5,1182.65978,192.032768
33,Start preparing fold6,1182.659824,192.032768
34,Start tuning6,1182.676027,192.032768
35,End tuning6,1183.556598,192.032768
36,end testing6,1185.332008,192.032768
37,end reporting6,1190.967125,191.954944
38,Start preparing fold7,1190.967166,191.954944
39,Start tuning7,1190.983327,191.954944
40,End tuning7,1191.666649,191.954944
41,end testing7,1193.519569,191.954944
42,end reporting7,1197.312849,192.36864
43,Start preparing fold8,1197.312894,192.36864
44,Start tuning8,1197.329557,192.376832
45,End tuning8,1198.048968,192.376832
46,end testing8,1199.901738,192.376832
47,end reporting8,1204.903939,184.066048
48,Start preparing fold9,1204.903984,184.066048
49,Start tuning9,1204.921186,184.07424
50,End tuning9,1205.902678,184.07424
51,end testing9,1207.66256,184.07424
52,end reporting9,1211.174765,192.208896
