,milestone,time,memory
0,start,1421.735751,164.438016
1,loading data,1421.740397,164.438016
2,data loaded,1421.822339,164.41344
3,Start preparing fold0,1421.822383,164.41344
4,Start tuning0,1421.839272,159.870976
5,End tuning0,1422.41806,159.870976
6,end testing0,1424.272652,159.567872
7,end reporting0,1427.58224,178.782208
8,Start preparing fold1,1427.582288,178.782208
9,Start tuning1,1427.599268,178.782208
10,End tuning1,1428.698083,178.495488
11,end testing1,1430.4706,178.495488
12,end reporting1,1434.165554,194.596864
13,Start preparing fold2,1434.165599,194.596864
14,Start tuning2,1434.184439,188.669952
15,End tuning2,1435.039017,188.669952
16,end testing2,1436.866875,188.669952
17,end reporting2,1440.046056,180.535296
18,Start preparing fold3,1440.046101,180.535296
19,Start tuning3,1440.064292,180.535296
20,End tuning3,1440.623924,180.535296
21,end testing3,1442.47981,180.535296
22,end reporting3,1446.414562,188.669952
23,Start preparing fold4,1446.414615,188.669952
24,Start tuning4,1446.432621,180.748288
25,End tuning4,1447.333771,180.748288
26,end testing4,1449.106519,180.748288
27,end reporting4,1453.554565,180.502528
28,Start preparing fold5,1453.554612,180.502528
29,Start tuning5,1453.571023,180.502528
30,End tuning5,1454.3479,180.502528
31,end testing5,1456.150504,180.502528
32,end reporting5,1459.700314,188.506112
33,Start preparing fold6,1459.700362,188.506112
34,Start tuning6,1459.716876,188.506112
35,End tuning6,1460.600552,188.506112
36,end testing6,1462.375258,188.506112
37,end reporting6,1465.742721,196.77184
38,Start preparing fold7,1465.742768,196.77184
39,Start tuning7,1465.759067,196.77184
40,End tuning7,1466.529838,164.184064
41,end testing7,1468.362198,164.192256
42,end reporting7,1471.749936,180.568064
43,Start preparing fold8,1471.749983,180.568064
44,Start tuning8,1471.767344,172.654592
45,End tuning8,1472.48654,172.654592
46,end testing8,1474.349448,172.654592
47,end reporting8,1477.860314,186.724352
48,Start preparing fold9,1477.860363,186.724352
49,Start tuning9,1477.877473,186.724352
50,End tuning9,1478.849978,186.724352
51,end testing9,1480.614313,186.724352
52,end reporting9,1484.793866,186.454016
