,milestone,time,memory
0,start,1294.915746,143.642624
1,loading data,1294.920127,143.642624
2,data loaded,1294.998084,143.642624
3,Start preparing fold0,1294.998129,143.642624
4,Start tuning0,1295.013851,143.798272
5,End tuning0,1295.600291,143.798272
6,end testing0,1297.490865,143.613952
7,end reporting0,1315.607758,185.458688
8,Start preparing fold1,1315.6078,185.458688
9,Start tuning1,1315.623837,185.458688
10,End tuning1,1316.713698,185.458688
11,end testing1,1318.475511,185.458688
12,end reporting1,1320.387941,193.61792
13,Start preparing fold2,1320.388004,193.61792
14,Start tuning2,1320.406221,187.6992
15,End tuning2,1321.269264,187.6992
16,end testing2,1323.111512,187.6992
17,end reporting2,1325.440268,187.437056
18,Start preparing fold3,1325.440318,187.437056
19,Start tuning3,1325.46219,187.437056
20,End tuning3,1326.0227,187.437056
21,end testing3,1327.915371,187.437056
22,end reporting3,1346.151755,187.4944
23,Start preparing fold4,1346.151797,187.4944
24,Start tuning4,1346.168813,181.57568
25,End tuning4,1347.084523,181.57568
26,end testing4,1348.850635,181.57568
27,end reporting4,1350.754631,189.759488
28,Start preparing fold5,1350.754702,189.759488
29,Start tuning5,1350.777667,189.759488
30,End tuning5,1351.560546,189.759488
31,end testing5,1353.40061,189.759488
32,end reporting5,1371.184066,181.460992
33,Start preparing fold6,1371.184109,181.460992
34,Start tuning6,1371.201382,181.460992
35,End tuning6,1372.099653,181.334016
36,end testing6,1373.87203,181.334016
37,end reporting6,1391.03076,182.272
38,Start preparing fold7,1391.030805,182.272
39,Start tuning7,1391.047193,182.272
40,End tuning7,1391.742838,182.272
41,end testing7,1393.637022,182.272
42,end reporting7,1395.728025,190.459904
43,Start preparing fold8,1395.728069,190.459904
44,Start tuning8,1395.746352,190.476288
45,End tuning8,1396.587248,157.585408
46,end testing8,1398.46548,157.53216
47,end reporting8,1416.617294,179.666944
48,Start preparing fold9,1416.617336,179.666944
49,Start tuning9,1416.634063,179.67104
50,End tuning9,1417.615187,179.67104
51,end testing9,1419.373147,179.67104
52,end reporting9,1421.285154,195.678208
