,milestone,time,memory
0,start,1211.628909,166.813696
1,loading data,1211.633347,166.813696
2,data loaded,1211.714741,164.315136
3,Start preparing fold0,1211.714785,164.315136
4,Start tuning0,1211.811115,160.587776
5,End tuning0,1212.513756,160.587776
6,end testing0,1214.368489,160.587776
7,end reporting0,1224.760447,181.67808
8,Start preparing fold1,1224.760491,181.67808
9,Start tuning1,1224.776742,181.67808
10,End tuning1,1226.085654,151.666688
11,end testing1,1227.861543,151.666688
12,end reporting1,1230.799053,187.498496
13,Start preparing fold2,1230.799099,187.498496
14,Start tuning2,1230.818241,187.498496
15,End tuning2,1231.805323,187.498496
16,end testing2,1233.644926,187.498496
17,end reporting2,1238.723914,195.649536
18,Start preparing fold3,1238.723957,195.649536
19,Start tuning3,1238.740594,195.649536
20,End tuning3,1239.425372,195.649536
21,end testing3,1241.294107,195.649536
22,end reporting3,1247.4331,189.497344
23,Start preparing fold4,1247.43315,189.497344
24,Start tuning4,1247.450155,183.578624
25,End tuning4,1248.48735,183.58272
26,end testing4,1250.268076,183.58272
27,end reporting4,1255.5429,183.58272
28,Start preparing fold5,1255.542944,183.58272
29,Start tuning5,1255.559387,183.58272
30,End tuning5,1256.471295,183.58272
31,end testing5,1258.279543,183.58272
32,end reporting5,1263.438124,191.717376
33,Start preparing fold6,1263.43817,191.717376
34,Start tuning6,1263.454849,191.717376
35,End tuning6,1264.474859,191.717376
36,end testing6,1266.270546,191.717376
37,end reporting6,1271.992764,183.496704
38,Start preparing fold7,1271.99281,183.496704
39,Start tuning7,1272.009379,183.496704
40,End tuning7,1272.81889,183.496704
41,end testing7,1274.682089,183.496704
42,end reporting7,1278.3315,191.83616
43,Start preparing fold8,1278.331549,191.83616
44,Start tuning8,1278.34858,191.844352
45,End tuning8,1279.201982,191.844352
46,end testing8,1281.069919,191.844352
47,end reporting8,1287.881892,183.545856
48,Start preparing fold9,1287.881937,183.545856
49,Start tuning9,1287.898606,183.554048
50,End tuning9,1289.013771,183.558144
51,end testing9,1290.793301,183.558144
52,end reporting9,1294.159777,191.32416
