,milestone,time,memory
0,start,59965.252914,148.48
1,loading data,59965.265739,148.512768
2,data loaded,59965.484142,147.357696
3,Start preparing fold0,59965.484186,147.357696
4,Start tuning0,59965.501655,145.248256
5,End tuning0,60117.205786,142.35648
6,end testing0,60270.452788,141.74208
7,end reporting0,60270.472223,142.032896
8,Start preparing fold1,60270.472259,142.032896
9,Start tuning1,60270.489905,142.098432
10,End tuning1,60779.943113,122.888192
11,end testing1,61195.491608,124.588032
12,end reporting1,61195.521099,125.046784
13,Start preparing fold2,61195.521141,125.046784
14,Start tuning2,61195.539881,125.52192
15,End tuning2,61566.577292,123.961344
16,end testing2,62083.305241,126.513152
17,end reporting2,62083.324461,126.922752
18,Start preparing fold3,62083.324496,126.922752
19,Start tuning3,62083.342848,126.984192
20,End tuning3,62232.432142,115.134464
21,end testing3,62746.165326,128.774144
22,end reporting3,62746.187214,129.224704
23,Start preparing fold4,62746.187244,129.224704
24,Start tuning4,62746.204809,129.396736
25,End tuning4,63166.428226,108.711936
26,end testing4,63431.865787,117.440512
27,end reporting4,63431.894321,118.054912
28,Start preparing fold5,63431.894362,118.054912
29,Start tuning5,63431.9143,118.484992
30,End tuning5,63726.486376,105.926656
31,end testing5,64205.776289,125.906944
32,end reporting5,64205.798909,126.640128
33,Start preparing fold6,64205.798951,126.640128
34,Start tuning6,64205.818203,126.992384
35,End tuning6,64593.759269,98.992128
36,end testing6,64774.450954,105.824256
37,end reporting6,64774.472717,106.287104
38,Start preparing fold7,64774.472781,106.287104
39,Start tuning7,64774.492793,106.758144
40,End tuning7,65011.674974,101.982208
41,end testing7,65150.850902,107.384832
42,end reporting7,65150.871469,107.913216
43,Start preparing fold8,65150.871509,107.913216
44,Start tuning8,65150.889433,108.130304
45,End tuning8,65394.701336,107.577344
46,end testing8,65545.159684,108.945408
47,end reporting8,65545.183098,109.1584
48,Start preparing fold9,65545.183143,109.1584
49,Start tuning9,65545.201178,109.19936
50,End tuning9,65974.095439,98.439168
51,end testing9,66137.753435,107.507712
52,end reporting9,66137.773483,107.831296
