,milestone,time,memory
0,start,988.231279,165.195776
1,loading data,988.235773,165.195776
2,data loaded,988.3174,157.990912
3,Start preparing fold0,988.317444,157.990912
4,Start tuning0,988.334147,154.54208
5,End tuning0,988.739932,154.54208
6,end testing0,989.461939,154.394624
7,end reporting0,995.716399,188.88704
8,Start preparing fold1,995.716443,188.88704
9,Start tuning1,995.732836,188.895232
10,End tuning1,996.486277,188.616704
11,end testing1,997.173562,188.616704
12,end reporting1,1000.700166,196.644864
13,Start preparing fold2,1000.700213,196.644864
14,Start tuning2,1000.71716,190.717952
15,End tuning2,1001.314977,190.717952
16,end testing2,1002.031162,190.717952
17,end reporting2,1005.026227,206.798848
18,Start preparing fold3,1005.026273,206.798848
19,Start tuning3,1005.042323,206.798848
20,End tuning3,1005.525245,167.288832
21,end testing3,1006.244924,167.309312
22,end reporting3,1010.544482,182.853632
23,Start preparing fold4,1010.544525,182.853632
24,Start tuning4,1010.560799,182.853632
25,End tuning4,1011.194625,182.853632
26,end testing4,1011.88598,182.853632
27,end reporting4,1017.458461,182.792192
28,Start preparing fold5,1017.458514,182.792192
29,Start tuning5,1017.477211,182.792192
30,End tuning5,1018.020922,182.792192
31,end testing5,1018.721429,182.792192
32,end reporting5,1022.297882,190.926848
33,Start preparing fold6,1022.297971,190.926848
34,Start tuning6,1022.314585,190.926848
35,End tuning6,1022.928207,190.926848
36,end testing6,1023.620796,190.926848
37,end reporting6,1028.101981,182.452224
38,Start preparing fold7,1028.102064,182.452224
39,Start tuning7,1028.121577,182.452224
40,End tuning7,1028.589877,182.452224
41,end testing7,1029.31165,182.452224
42,end reporting7,1032.235628,190.75072
43,Start preparing fold8,1032.235683,190.75072
44,Start tuning8,1032.255748,190.767104
45,End tuning8,1032.758862,190.767104
46,end testing8,1033.484223,190.767104
47,end reporting8,1037.816669,198.81984
48,Start preparing fold9,1037.816715,198.81984
49,Start tuning9,1037.832809,198.823936
50,End tuning9,1038.611212,166.105088
51,end testing9,1039.291108,166.105088
52,end reporting9,1042.966566,182.489088
