,milestone,time,memory
0,start,1259.879364,165.453824
1,loading data,1259.883967,165.453824
2,data loaded,1259.962276,165.400576
3,Start preparing fold0,1259.962318,165.400576
4,Start tuning0,1260.099478,151.261184
5,End tuning0,1260.497183,151.261184
6,end testing0,1261.213109,151.273472
7,end reporting0,1264.797762,185.667584
8,Start preparing fold1,1264.797807,185.667584
9,Start tuning1,1264.813753,185.667584
10,End tuning1,1265.564779,185.667584
11,end testing1,1266.255331,185.667584
12,end reporting1,1269.514666,193.830912
13,Start preparing fold2,1269.51471,193.830912
14,Start tuning2,1269.531687,187.904
15,End tuning2,1270.120475,187.904
16,end testing2,1270.833355,187.904
17,end reporting2,1274.062346,187.768832
18,Start preparing fold3,1274.062392,187.768832
19,Start tuning3,1274.078966,187.768832
20,End tuning3,1274.46541,187.768832
21,end testing3,1275.191966,187.768832
22,end reporting3,1278.983663,195.817472
23,Start preparing fold4,1278.98372,195.817472
24,Start tuning4,1279.002236,189.906944
25,End tuning4,1279.625126,189.906944
26,end testing4,1280.312919,189.906944
27,end reporting4,1283.944778,189.689856
28,Start preparing fold5,1283.944825,189.689856
29,Start tuning5,1283.961136,189.689856
30,End tuning5,1284.496614,189.689856
31,end testing5,1285.197723,189.689856
32,end reporting5,1288.484048,189.755392
33,Start preparing fold6,1288.484127,189.755392
34,Start tuning6,1288.503695,189.755392
35,End tuning6,1289.111685,189.755392
36,end testing6,1289.830384,189.755392
37,end reporting6,1293.090167,198.02112
38,Start preparing fold7,1293.090212,198.02112
39,Start tuning7,1293.106629,198.02112
40,End tuning7,1293.578522,198.02112
41,end testing7,1294.300954,198.02112
42,end reporting7,1297.496212,181.952512
43,Start preparing fold8,1297.496258,181.952512
44,Start tuning8,1297.512606,181.977088
45,End tuning8,1298.014007,181.977088
46,end testing8,1298.735887,181.977088
47,end reporting8,1302.917509,189.923328
48,Start preparing fold9,1302.917553,189.923328
49,Start tuning9,1302.93404,189.93152
50,End tuning9,1303.609056,189.93152
51,end testing9,1304.298326,189.93152
52,end reporting9,1307.930888,189.693952
