,milestone,time,memory
0,start,1103.598165,160.13312
1,loading data,1103.602687,160.13312
2,data loaded,1103.683656,160.423936
3,Start preparing fold0,1103.683702,160.423936
4,Start tuning0,1103.792414,159.133696
5,End tuning0,1104.205887,158.867456
6,end testing0,1104.963867,150.87616
7,end reporting0,1122.995978,186.007552
8,Start preparing fold1,1122.996019,186.007552
9,Start tuning1,1123.011919,186.007552
10,End tuning1,1123.790694,186.007552
11,end testing1,1124.483628,186.007552
12,end reporting1,1141.541276,186.007552
13,Start preparing fold2,1141.541317,186.007552
14,Start tuning2,1141.557717,180.08064
15,End tuning2,1142.160089,180.08064
16,end testing2,1142.892518,180.08064
17,end reporting2,1145.200232,187.793408
18,Start preparing fold3,1145.20028,187.793408
19,Start tuning3,1145.218394,187.793408
20,End tuning3,1145.623716,187.793408
21,end testing3,1146.386279,187.793408
22,end reporting3,1164.555698,187.940864
23,Start preparing fold4,1164.555741,187.940864
24,Start tuning4,1164.572727,182.022144
25,End tuning4,1165.220047,182.022144
26,end testing4,1165.911241,182.022144
27,end reporting4,1182.994753,181.940224
28,Start preparing fold5,1182.994795,181.940224
29,Start tuning5,1183.011183,181.940224
30,End tuning5,1183.65081,149.921792
31,end testing5,1184.38259,149.921792
32,end reporting5,1201.841881,185.860096
33,Start preparing fold6,1201.841922,185.860096
34,Start tuning6,1201.858438,185.860096
35,End tuning6,1202.479076,185.860096
36,end testing6,1203.174523,185.860096
37,end reporting6,1220.298665,186.208256
38,Start preparing fold7,1220.298708,186.208256
39,Start tuning7,1220.318619,186.208256
40,End tuning7,1220.811684,186.208256
41,end testing7,1221.56928,186.208256
42,end reporting7,1236.62417,185.913344
43,Start preparing fold8,1236.624215,185.913344
44,Start tuning8,1236.64126,179.994624
45,End tuning8,1237.148106,179.994624
46,end testing8,1237.910089,179.994624
47,end reporting8,1256.118357,188.563456
48,Start preparing fold9,1256.118399,188.563456
49,Start tuning9,1256.135044,182.636544
50,End tuning9,1256.824401,182.636544
51,end testing9,1257.512541,182.636544
52,end reporting9,1259.419934,190.7712
