,milestone,time,memory
0,start,1043.418936,157.171712
1,loading data,1043.423545,157.171712
2,data loaded,1043.506149,152.772608
3,Start preparing fold0,1043.506195,152.772608
4,Start tuning0,1043.522789,152.86272
5,End tuning0,1044.053996,152.86272
6,end testing0,1044.791002,152.86272
7,end reporting0,1052.306695,186.527744
8,Start preparing fold1,1052.306738,186.527744
9,Start tuning1,1052.322748,186.527744
10,End tuning1,1053.225689,186.527744
11,end testing1,1053.927603,186.527744
12,end reporting1,1056.71164,194.625536
13,Start preparing fold2,1056.711686,194.625536
14,Start tuning2,1056.727799,194.625536
15,End tuning2,1057.457529,194.629632
16,end testing2,1058.18509,194.629632
17,end reporting2,1061.19307,188.420096
18,Start preparing fold3,1061.193117,188.420096
19,Start tuning3,1061.209166,188.420096
20,End tuning3,1061.724231,188.420096
21,end testing3,1062.461982,188.420096
22,end reporting3,1067.319464,196.550656
23,Start preparing fold4,1067.319515,196.550656
24,Start tuning4,1067.339727,190.623744
25,End tuning4,1068.107201,190.636032
26,end testing4,1068.812523,190.636032
27,end reporting4,1074.85387,182.308864
28,Start preparing fold5,1074.853912,182.308864
29,Start tuning5,1074.870156,182.308864
30,End tuning5,1075.542804,182.308864
31,end testing5,1076.256881,182.308864
32,end reporting5,1080.498105,190.44352
33,Start preparing fold6,1080.498156,190.44352
34,Start tuning6,1080.517621,190.44352
35,End tuning6,1081.275222,190.44352
36,end testing6,1082.028784,190.160896
37,end reporting6,1086.181841,179.965952
38,Start preparing fold7,1086.181883,179.965952
39,Start tuning7,1086.198109,179.965952
40,End tuning7,1086.809311,179.965952
41,end testing7,1087.558673,179.965952
42,end reporting7,1090.366252,190.251008
43,Start preparing fold8,1090.366298,190.251008
44,Start tuning8,1090.383872,190.267392
45,End tuning8,1091.018984,190.267392
46,end testing8,1091.755574,190.267392
47,end reporting8,1098.275401,182.022144
48,Start preparing fold9,1098.275445,182.022144
49,Start tuning9,1098.291616,182.030336
50,End tuning9,1099.109059,182.030336
51,end testing9,1099.811887,182.030336
52,end reporting9,1102.972748,190.164992
