,milestone,time,memory
0,start,921.852503,177.422336
1,loading data,921.857241,177.422336
2,data loaded,921.941796,169.115648
3,Start preparing fold0,921.941847,169.115648
4,Start tuning0,921.959169,166.731776
5,End tuning0,922.317101,166.731776
6,end testing0,922.758998,166.612992
7,end reporting0,928.419853,210.61632
8,Start preparing fold1,928.419897,210.61632
9,Start tuning1,928.436256,210.61632
10,End tuning1,929.112286,204.722176
11,end testing1,929.529093,204.906496
12,end reporting1,933.583399,197.81632
13,Start preparing fold2,933.583447,197.81632
14,Start tuning2,933.605028,183.959552
15,End tuning2,934.135572,183.959552
16,end testing2,934.56468,183.959552
17,end reporting2,937.832805,205.918208
18,Start preparing fold3,937.832853,205.918208
19,Start tuning3,937.849312,205.918208
20,End tuning3,938.196113,205.918208
21,end testing3,938.63384,205.942784
22,end reporting3,943.197222,199.45472
23,Start preparing fold4,943.197266,199.45472
24,Start tuning4,943.213929,199.45472
25,End tuning4,943.789263,199.45472
26,end testing4,944.203434,199.45472
27,end reporting4,947.537266,207.31904
28,Start preparing fold5,947.537313,207.31904
29,Start tuning5,947.553906,207.31904
30,End tuning5,948.054549,207.31904
31,end testing5,948.476697,207.31904
32,end reporting5,952.925123,193.232896
33,Start preparing fold6,952.925169,193.232896
34,Start tuning6,952.941481,193.232896
35,End tuning6,953.488316,193.232896
36,end testing6,953.905343,193.232896
37,end reporting6,958.975434,201.23648
38,Start preparing fold7,958.975503,201.23648
39,Start tuning7,958.99411,201.23648
40,End tuning7,959.417222,201.23648
41,end testing7,959.853617,201.23648
42,end reporting7,963.369648,193.007616
43,Start preparing fold8,963.369695,193.007616
44,Start tuning8,963.386306,193.032192
45,End tuning8,963.831091,193.032192
46,end testing8,964.26664,193.032192
47,end reporting8,968.419061,201.166848
48,Start preparing fold9,968.419151,201.166848
49,Start tuning9,968.436512,201.166848
50,End tuning9,969.039811,201.166848
51,end testing9,969.461743,201.166848
52,end reporting9,974.222193,192.872448
