,milestone,time,memory
0,start,1133.122321,175.484928
1,loading data,1133.127168,175.484928
2,data loaded,1133.208383,174.268416
3,Start preparing fold0,1133.208428,174.268416
4,Start tuning0,1133.22472,171.184128
5,End tuning0,1133.580611,171.184128
6,end testing0,1134.016777,171.053056
7,end reporting0,1137.034236,190.541824
8,Start preparing fold1,1137.034283,190.541824
9,Start tuning1,1137.050518,190.541824
10,End tuning1,1137.726442,190.541824
11,end testing1,1138.140013,190.541824
12,end reporting1,1141.028973,206.647296
13,Start preparing fold2,1141.02902,206.647296
14,Start tuning2,1141.045229,206.647296
15,End tuning2,1141.574195,206.647296
16,end testing2,1142.003708,206.647296
17,end reporting2,1144.805238,214.798336
18,Start preparing fold3,1144.805287,214.798336
19,Start tuning3,1144.822228,214.798336
20,End tuning3,1145.168872,214.798336
21,end testing3,1145.606367,214.798336
22,end reporting3,1149.207438,192.569344
23,Start preparing fold4,1149.207483,192.569344
24,Start tuning4,1149.225878,192.585728
25,End tuning4,1149.784672,192.585728
26,end testing4,1150.199749,192.585728
27,end reporting4,1153.481448,200.720384
28,Start preparing fold5,1153.481496,200.720384
29,Start tuning5,1153.499838,200.720384
30,End tuning5,1153.988004,200.720384
31,end testing5,1154.410991,200.720384
32,end reporting5,1157.291065,200.511488
33,Start preparing fold6,1157.291165,200.511488
34,Start tuning6,1157.309454,200.511488
35,End tuning6,1157.846978,200.511488
36,end testing6,1158.261421,200.511488
37,end reporting6,1161.617479,200.708096
38,Start preparing fold7,1161.617526,200.708096
39,Start tuning7,1161.634542,200.708096
40,End tuning7,1162.059856,200.708096
41,end testing7,1162.493503,200.708096
42,end reporting7,1165.318272,208.904192
43,Start preparing fold8,1165.318319,208.904192
44,Start tuning8,1165.33472,208.928768
45,End tuning8,1165.786419,208.928768
46,end testing8,1166.221118,208.928768
47,end reporting8,1169.935164,192.569344
48,Start preparing fold9,1169.935213,192.569344
49,Start tuning9,1169.952033,192.577536
50,End tuning9,1170.554798,192.577536
51,end testing9,1170.968279,192.577536
52,end reporting9,1174.346607,200.712192
