,milestone,time,memory
0,start,1038.046916,153.505792
1,loading data,1038.051284,153.505792
2,data loaded,1038.122573,154.517504
3,Start preparing fold0,1038.122615,154.517504
4,Start tuning0,1038.13909,154.66496
5,End tuning0,1038.512326,154.66496
6,end testing0,1038.980892,154.677248
7,end reporting0,1057.017185,196.56704
8,Start preparing fold1,1057.017227,196.56704
9,Start tuning1,1057.033163,196.56704
10,End tuning1,1057.720497,196.56704
11,end testing1,1058.131693,196.56704
12,end reporting1,1060.041367,204.71808
13,Start preparing fold2,1060.041412,204.71808
14,Start tuning2,1060.059884,198.791168
15,End tuning2,1060.630225,198.791168
16,end testing2,1061.078547,198.791168
17,end reporting2,1063.318087,198.303744
18,Start preparing fold3,1063.318161,198.303744
19,Start tuning3,1063.33593,198.303744
20,End tuning3,1063.703487,198.303744
21,end testing3,1064.176193,198.303744
22,end reporting3,1082.337062,198.4512
23,Start preparing fold4,1082.337107,198.4512
24,Start tuning4,1082.355663,192.53248
25,End tuning4,1082.926163,192.53248
26,end testing4,1083.34075,192.53248
27,end reporting4,1085.229396,200.740864
28,Start preparing fold5,1085.229456,200.740864
29,Start tuning5,1085.24667,200.740864
30,End tuning5,1085.7575,200.740864
31,end testing5,1086.201754,200.740864
32,end reporting5,1088.486922,192.53248
33,Start preparing fold6,1088.486985,192.53248
34,Start tuning6,1088.505055,192.53248
35,End tuning6,1089.08238,192.53248
36,end testing6,1089.497009,192.53248
37,end reporting6,1091.36483,200.667136
38,Start preparing fold7,1091.364877,200.667136
39,Start tuning7,1091.388042,200.667136
40,End tuning7,1091.833004,200.667136
41,end testing7,1092.303132,200.667136
42,end reporting7,1110.448489,200.790016
43,Start preparing fold8,1110.44853,200.790016
44,Start tuning8,1110.465208,192.86016
45,End tuning8,1110.923268,192.86016
46,end testing8,1111.38887,192.86016
47,end reporting8,1129.71092,200.597504
48,Start preparing fold9,1129.710963,200.597504
49,Start tuning9,1129.727865,192.663552
50,End tuning9,1130.355647,192.663552
51,end testing9,1130.769571,192.663552
52,end reporting9,1132.669488,200.802304
