,milestone,time,memory
0,start,974.676367,167.555072
1,loading data,974.68095,167.555072
2,data loaded,974.763339,163.26656
3,Start preparing fold0,974.763384,163.26656
4,Start tuning0,974.779262,163.356672
5,End tuning0,975.266875,163.356672
6,end testing0,975.711745,163.356672
7,end reporting0,988.521304,196.902912
8,Start preparing fold1,988.521348,196.902912
9,Start tuning1,988.537942,196.902912
10,End tuning1,989.353258,196.902912
11,end testing1,989.785161,196.902912
12,end reporting1,992.571472,205.000704
13,Start preparing fold2,992.571519,205.000704
14,Start tuning2,992.588314,205.062144
15,End tuning2,993.255722,205.062144
16,end testing2,993.699171,205.062144
17,end reporting2,997.057349,198.889472
18,Start preparing fold3,997.057396,198.889472
19,Start tuning3,997.073841,198.889472
20,End tuning3,997.557202,198.889472
21,end testing3,998.003991,198.889472
22,end reporting3,1002.004403,207.020032
23,Start preparing fold4,1002.004449,207.020032
24,Start tuning4,1002.021682,201.09312
25,End tuning4,1002.722014,201.09312
26,end testing4,1003.15425,201.09312
27,end reporting4,1007.778849,192.876544
28,Start preparing fold5,1007.778896,192.876544
29,Start tuning5,1007.795165,192.876544
30,End tuning5,1008.409647,192.876544
31,end testing5,1008.844211,192.876544
32,end reporting5,1012.516228,201.0112
33,Start preparing fold6,1012.516272,201.0112
34,Start tuning6,1012.535198,201.0112
35,End tuning6,1013.21468,201.0112
36,end testing6,1013.64619,201.0112
37,end reporting6,1019.126731,192.843776
38,Start preparing fold7,1019.126774,192.843776
39,Start tuning7,1019.143104,192.843776
40,End tuning7,1019.696495,192.843776
41,end testing7,1020.143474,192.843776
42,end reporting7,1023.8707,201.117696
43,Start preparing fold8,1023.870745,201.117696
44,Start tuning8,1023.888506,201.13408
45,End tuning8,1024.464202,201.13408
46,end testing8,1024.916335,201.13408
47,end reporting8,1031.9695,192.729088
48,Start preparing fold9,1031.969544,192.729088
49,Start tuning9,1031.985937,192.73728
50,End tuning9,1032.723657,192.73728
51,end testing9,1033.150414,192.73728
52,end reporting9,1037.279599,200.871936
