,milestone,time,memory
0,start,1155.520021,154.411008
1,loading data,1155.524622,154.411008
2,data loaded,1155.606893,150.9376
3,Start preparing fold0,1155.606941,150.9376
4,Start tuning0,1155.623777,149.307392
5,End tuning0,1156.274396,149.307392
6,end testing0,1158.623506,149.188608
7,end reporting0,1162.84937,183.218176
8,Start preparing fold1,1162.849419,183.218176
9,Start tuning1,1162.871303,183.218176
10,End tuning1,1164.099385,183.218176
11,end testing1,1166.323811,183.218176
12,end reporting1,1168.972998,191.3856
13,Start preparing fold2,1168.973046,191.3856
14,Start tuning2,1168.990183,185.458688
15,End tuning2,1169.943677,185.458688
16,end testing2,1172.239047,185.458688
17,end reporting2,1175.368446,201.539584
18,Start preparing fold3,1175.368492,201.539584
19,Start tuning3,1175.385115,201.539584
20,End tuning3,1176.043022,198.115328
21,end testing3,1178.362822,198.115328
22,end reporting3,1186.725262,175.816704
23,Start preparing fold4,1186.725308,175.816704
24,Start tuning4,1186.743413,167.89504
25,End tuning4,1187.78353,167.89504
26,end testing4,1190.017251,167.89504
27,end reporting4,1193.524414,175.464448
28,Start preparing fold5,1193.524463,175.464448
29,Start tuning5,1193.540826,175.464448
30,End tuning5,1194.410605,175.464448
31,end testing5,1196.663522,175.464448
32,end reporting5,1200.565142,183.468032
33,Start preparing fold6,1200.56519,183.468032
34,Start tuning6,1200.582988,183.468032
35,End tuning6,1201.568702,183.468032
36,end testing6,1203.790174,183.468032
37,end reporting6,1208.180409,191.598592
38,Start preparing fold7,1208.180487,191.598592
39,Start tuning7,1208.197915,191.598592
40,End tuning7,1209.054009,159.0272
41,end testing7,1211.374232,159.0272
42,end reporting7,1214.177563,175.476736
43,Start preparing fold8,1214.177674,175.476736
44,Start tuning8,1214.19947,167.563264
45,End tuning8,1214.997931,167.563264
46,end testing8,1217.332856,167.563264
47,end reporting8,1221.871758,181.485568
48,Start preparing fold9,1221.871805,181.485568
49,Start tuning9,1221.889439,173.551616
50,End tuning9,1222.983378,173.551616
51,end testing9,1225.198567,173.551616
52,end reporting9,1229.128589,181.00224
