,milestone,time,memory
0,start,1433.032679,162.390016
1,loading data,1433.037138,162.390016
2,data loaded,1433.119316,162.287616
3,Start preparing fold0,1433.119362,162.287616
4,Start tuning0,1433.26355,135.540736
5,End tuning0,1433.909627,135.540736
6,end testing0,1436.20845,134.987776
7,end reporting0,1439.245372,178.450432
8,Start preparing fold1,1439.245421,178.450432
9,Start tuning1,1439.26216,178.450432
10,End tuning1,1440.485295,178.450432
11,end testing1,1442.704669,178.450432
12,end reporting1,1445.738597,186.355712
13,Start preparing fold2,1445.738644,186.355712
14,Start tuning2,1445.755479,180.4288
15,End tuning2,1446.707686,180.4288
16,end testing2,1448.998738,180.4288
17,end reporting2,1452.022644,180.10112
18,Start preparing fold3,1452.022696,180.10112
19,Start tuning3,1452.044257,174.137344
20,End tuning3,1452.674728,174.084096
21,end testing3,1455.028934,174.084096
22,end reporting3,1459.314148,182.132736
23,Start preparing fold4,1459.314193,182.132736
24,Start tuning4,1459.331015,174.211072
25,End tuning4,1460.352428,174.211072
26,end testing4,1462.567145,174.211072
27,end reporting4,1465.963048,188.37504
28,Start preparing fold5,1465.963094,188.37504
29,Start tuning5,1465.981587,188.37504
30,End tuning5,1466.933196,157.691904
31,end testing5,1469.164623,157.700096
32,end reporting5,1473.009139,174.006272
33,Start preparing fold6,1473.009186,174.006272
34,Start tuning6,1473.025549,174.006272
35,End tuning6,1474.009613,174.002176
36,end testing6,1476.232087,174.002176
37,end reporting6,1479.624299,182.136832
38,Start preparing fold7,1479.624345,182.136832
39,Start tuning7,1479.640596,182.136832
40,End tuning7,1480.409352,182.136832
41,end testing7,1482.772343,182.136832
42,end reporting7,1485.77273,174.067712
43,Start preparing fold8,1485.77278,174.067712
44,Start tuning8,1485.790626,166.150144
45,End tuning8,1486.600211,166.150144
46,end testing8,1488.930176,166.158336
47,end reporting8,1493.096273,182.239232
48,Start preparing fold9,1493.096318,182.239232
49,Start tuning9,1493.112403,182.239232
50,End tuning9,1494.209921,182.239232
51,end testing9,1496.420701,182.239232
52,end reporting9,1499.88797,174.047232
