,milestone,time,memory
0,start,1315.171101,142.15168
1,loading data,1315.175481,142.15168
2,data loaded,1315.254089,142.303232
3,Start preparing fold0,1315.254135,142.303232
4,Start tuning0,1315.26988,142.450688
5,End tuning0,1315.931902,142.462976
6,end testing0,1318.287031,142.344192
7,end reporting0,1336.466385,177.713152
8,Start preparing fold1,1336.466427,177.713152
9,Start tuning1,1336.482301,177.713152
10,End tuning1,1337.735825,177.405952
11,end testing1,1339.950199,177.405952
12,end reporting1,1341.986038,177.881088
13,Start preparing fold2,1341.986115,177.881088
14,Start tuning2,1342.004802,171.954176
15,End tuning2,1342.984564,171.384832
16,end testing2,1345.300651,171.384832
17,end reporting2,1347.351719,187.273216
18,Start preparing fold3,1347.35178,187.273216
19,Start tuning3,1347.369241,187.273216
20,End tuning3,1348.005086,187.121664
21,end testing3,1350.37474,187.121664
22,end reporting3,1368.635413,172.204032
23,Start preparing fold4,1368.635462,172.204032
24,Start tuning4,1368.65488,172.212224
25,End tuning4,1369.695285,172.068864
26,end testing4,1371.915831,172.068864
27,end reporting4,1373.922112,172.056576
28,Start preparing fold5,1373.922158,172.056576
29,Start tuning5,1373.940316,172.056576
30,End tuning5,1374.816417,172.05248
31,end testing5,1377.088848,172.05248
32,end reporting5,1379.115504,180.187136
33,Start preparing fold6,1379.115567,180.187136
34,Start tuning6,1379.13547,180.187136
35,End tuning6,1380.156713,179.634176
36,end testing6,1382.400187,179.634176
37,end reporting6,1384.256896,186.482688
38,Start preparing fold7,1384.256942,186.482688
39,Start tuning7,1384.27506,186.482688
40,End tuning7,1385.04783,186.40896
41,end testing7,1387.386301,186.40896
42,end reporting7,1405.789025,170.401792
43,Start preparing fold8,1405.789068,170.401792
44,Start tuning8,1405.805514,170.41408
45,End tuning8,1406.640622,170.37312
46,end testing8,1409.035451,170.37312
47,end reporting8,1427.37197,179.695616
48,Start preparing fold9,1427.372015,179.695616
49,Start tuning9,1427.38834,179.699712
50,End tuning9,1428.492545,179.699712
51,end testing9,1430.706228,179.699712
52,end reporting9,1432.616391,187.707392
