,milestone,time,memory
0,start,1229.522591,149.680128
1,loading data,1229.527258,149.680128
2,data loaded,1229.610447,148.48
3,Start preparing fold0,1229.610496,148.48
4,Start tuning0,1229.627881,145.313792
5,End tuning0,1230.406351,145.334272
6,end testing0,1232.722887,145.334272
7,end reporting0,1241.028977,179.019776
8,Start preparing fold1,1241.029021,179.019776
9,Start tuning1,1241.045364,179.019776
10,End tuning1,1242.408664,179.105792
11,end testing1,1244.622009,179.105792
12,end reporting1,1247.438334,187.285504
13,Start preparing fold2,1247.438382,187.285504
14,Start tuning2,1247.454999,181.362688
15,End tuning2,1248.553932,181.387264
16,end testing2,1250.863841,181.387264
17,end reporting2,1253.792303,181.305344
18,Start preparing fold3,1253.792351,181.305344
19,Start tuning3,1253.809342,181.305344
20,End tuning3,1254.560922,181.133312
21,end testing3,1256.894747,181.133312
22,end reporting3,1264.47397,188.227584
23,Start preparing fold4,1264.474012,188.227584
24,Start tuning4,1264.490779,182.308864
25,End tuning4,1265.641748,182.329344
26,end testing4,1267.887263,182.329344
27,end reporting4,1272.858455,172.806144
28,Start preparing fold5,1272.858508,172.806144
29,Start tuning5,1272.87651,172.597248
30,End tuning5,1273.925506,171.982848
31,end testing5,1276.192436,171.982848
32,end reporting5,1280.477699,180.002816
33,Start preparing fold6,1280.477746,180.002816
34,Start tuning6,1280.494315,180.002816
35,End tuning6,1281.700809,147.984384
36,end testing6,1283.930911,147.984384
37,end reporting6,1289.757097,169.996288
38,Start preparing fold7,1289.757151,169.996288
39,Start tuning7,1289.774772,169.996288
40,End tuning7,1290.662833,169.996288
41,end testing7,1293.021323,169.996288
42,end reporting7,1296.364086,186.277888
43,Start preparing fold8,1296.364134,186.277888
44,Start tuning8,1296.382154,172.429312
45,End tuning8,1297.405304,147.935232
46,end testing8,1299.727739,147.935232
47,end reporting8,1306.771748,170.016768
48,Start preparing fold9,1306.771793,170.016768
49,Start tuning9,1306.789054,162.082816
50,End tuning9,1308.028735,162.082816
51,end testing9,1310.259514,162.082816
52,end reporting9,1314.506827,177.942528
