,milestone,time,memory
0,start,1449.365065,167.878656
1,loading data,1449.369977,167.878656
2,data loaded,1449.451496,157.442048
3,Start preparing fold0,1449.451541,157.442048
4,Start tuning0,1449.467879,157.319168
5,End tuning0,1450.330559,157.319168
6,end testing0,1453.953062,157.319168
7,end reporting0,1460.955517,189.48096
8,Start preparing fold1,1460.955561,189.48096
9,Start tuning1,1460.971968,189.48096
10,End tuning1,1462.59506,189.48096
11,end testing1,1466.043025,189.48096
12,end reporting1,1469.073357,197.50912
13,Start preparing fold2,1469.073404,197.50912
14,Start tuning2,1469.092031,191.582208
15,End tuning2,1470.395092,191.582208
16,end testing2,1473.99587,191.582208
17,end reporting2,1477.790804,207.745024
18,Start preparing fold3,1477.79085,207.745024
19,Start tuning3,1477.807847,207.70816
20,End tuning3,1478.637394,207.70816
21,end testing3,1482.266345,207.70816
22,end reporting3,1489.284865,183.865344
23,Start preparing fold4,1489.28491,183.865344
24,Start tuning4,1489.30165,183.865344
25,End tuning4,1490.655957,183.865344
26,end testing4,1494.102704,183.865344
27,end reporting4,1497.054138,192.0
28,Start preparing fold5,1497.054186,192.0
29,Start tuning5,1497.070792,192.0
30,End tuning5,1498.308488,159.158272
31,end testing5,1501.786004,159.158272
32,end reporting5,1506.000304,181.248
33,Start preparing fold6,1506.000351,181.248
34,Start tuning6,1506.016969,181.248
35,End tuning6,1507.331708,181.248
36,end testing6,1510.807357,181.248
37,end reporting6,1515.362663,189.186048
38,Start preparing fold7,1515.362709,189.186048
39,Start tuning7,1515.379198,189.186048
40,End tuning7,1516.39197,189.186048
41,end testing7,1519.98627,189.186048
42,end reporting7,1522.733322,197.410816
43,Start preparing fold8,1522.733374,197.410816
44,Start tuning8,1522.752329,191.500288
45,End tuning8,1523.846309,191.500288
46,end testing8,1527.468173,191.500288
47,end reporting8,1532.947298,183.259136
48,Start preparing fold9,1532.947344,183.259136
49,Start tuning9,1532.963727,183.267328
50,End tuning9,1534.411812,183.267328
51,end testing9,1537.84861,183.267328
52,end reporting9,1541.391214,191.401984
