,milestone,time,memory
0,start,1805.234913,156.299264
1,loading data,1805.240494,156.299264
2,data loaded,1805.323068,147.152896
3,Start preparing fold0,1805.323113,147.152896
4,Start tuning0,1805.34586,144.920576
5,End tuning0,1806.206204,144.920576
6,end testing0,1809.798681,144.084992
7,end reporting0,1813.46099,187.080704
8,Start preparing fold1,1813.461039,187.080704
9,Start tuning1,1813.477303,187.080704
10,End tuning1,1815.092478,187.080704
11,end testing1,1818.549432,187.080704
12,end reporting1,1822.215254,185.561088
13,Start preparing fold2,1822.215321,185.561088
14,Start tuning2,1822.234107,179.634176
15,End tuning2,1823.498881,179.634176
16,end testing2,1827.04014,179.634176
17,end reporting2,1830.09114,195.80928
18,Start preparing fold3,1830.091186,195.80928
19,Start tuning3,1830.108297,195.772416
20,End tuning3,1830.938945,195.772416
21,end testing3,1834.552775,195.772416
22,end reporting3,1839.322307,203.845632
23,Start preparing fold4,1839.322376,203.845632
24,Start tuning4,1839.341245,197.935104
25,End tuning4,1840.77831,165.244928
26,end testing4,1844.195351,165.244928
27,end reporting4,1848.455833,181.57568
28,Start preparing fold5,1848.45588,181.57568
29,Start tuning5,1848.472189,181.57568
30,End tuning5,1849.622949,181.57568
31,end testing5,1853.122012,181.57568
32,end reporting5,1856.509408,189.579264
33,Start preparing fold6,1856.509456,189.579264
34,Start tuning6,1856.526011,189.579264
35,End tuning6,1857.902534,157.560832
36,end testing6,1861.331161,157.560832
37,end reporting6,1864.810988,179.572736
38,Start preparing fold7,1864.811036,179.572736
39,Start tuning7,1864.827655,179.572736
40,End tuning7,1865.835674,179.572736
41,end testing7,1869.451321,179.572736
42,end reporting7,1872.201855,195.858432
43,Start preparing fold8,1872.201902,195.858432
44,Start tuning8,1872.219282,189.939712
45,End tuning8,1873.292278,189.939712
46,end testing8,1876.912261,189.939712
47,end reporting8,1881.542257,181.620736
48,Start preparing fold9,1881.542304,181.620736
49,Start tuning9,1881.558615,181.620736
50,End tuning9,1883.00917,181.620736
51,end testing9,1886.469192,181.620736
52,end reporting9,1889.904819,189.755392
