,milestone,time,memory
0,start,1641.402681,151.42912
1,loading data,1641.407144,151.42912
2,data loaded,1641.487242,152.363008
3,Start preparing fold0,1641.487286,152.363008
4,Start tuning0,1641.503731,152.33024
5,End tuning0,1642.38699,152.33024
6,end testing0,1646.038489,152.342528
7,end reporting0,1664.334639,186.077184
8,Start preparing fold1,1664.334683,186.077184
9,Start tuning1,1664.351874,186.077184
10,End tuning1,1665.987706,186.077184
11,end testing1,1669.434893,186.077184
12,end reporting1,1671.46662,185.93792
13,Start preparing fold2,1671.466688,185.93792
14,Start tuning2,1671.483932,185.93792
15,End tuning2,1672.759687,185.93792
16,end testing2,1676.334769,185.946112
17,end reporting2,1678.378249,194.080768
18,Start preparing fold3,1678.378316,194.080768
19,Start tuning3,1678.397335,194.080768
20,End tuning3,1679.251668,194.080768
21,end testing3,1682.901456,194.080768
22,end reporting3,1701.246926,188.043264
23,Start preparing fold4,1701.246968,188.043264
24,Start tuning4,1701.264072,182.116352
25,End tuning4,1702.631528,182.116352
26,end testing4,1706.085791,182.116352
27,end reporting4,1708.091619,182.071296
28,Start preparing fold5,1708.091705,182.071296
29,Start tuning5,1708.110113,182.071296
30,End tuning5,1709.288952,182.071296
31,end testing5,1712.839981,182.071296
32,end reporting5,1730.442103,182.165504
33,Start preparing fold6,1730.442146,182.165504
34,Start tuning6,1730.458863,182.1696
35,End tuning6,1731.787607,182.1696
36,end testing6,1735.256456,182.1696
37,end reporting6,1752.503913,182.19008
38,Start preparing fold7,1752.503961,182.19008
39,Start tuning7,1752.520569,182.19008
40,End tuning7,1753.553026,182.19008
41,end testing7,1757.191106,182.19008
42,end reporting7,1759.537215,182.145024
43,Start preparing fold8,1759.537289,182.145024
44,Start tuning8,1759.555452,182.153216
45,End tuning8,1760.637964,182.153216
46,end testing8,1764.29786,182.153216
47,end reporting8,1782.568374,182.218752
48,Start preparing fold9,1782.568417,182.218752
49,Start tuning9,1782.584958,182.222848
50,End tuning9,1784.079421,182.222848
51,end testing9,1787.522795,182.222848
52,end reporting9,1804.666744,182.226944
