,milestone,time,memory
0,start,1541.8472,166.006784
1,loading data,1541.852471,166.006784
2,data loaded,1541.927601,164.765696
3,Start preparing fold0,1541.927644,164.765696
4,Start tuning0,1541.944276,161.513472
5,End tuning0,1542.939119,161.513472
6,end testing0,1546.559415,161.513472
7,end reporting0,1556.8291,182.00576
8,Start preparing fold1,1556.829144,182.00576
9,Start tuning1,1556.845414,182.00576
10,End tuning1,1558.612409,182.00576
11,end testing1,1562.074687,182.013952
12,end reporting1,1565.466301,188.719104
13,Start preparing fold2,1565.466349,188.719104
14,Start tuning2,1565.483394,182.800384
15,End tuning2,1566.897356,174.7968
16,end testing2,1570.453575,174.7968
17,end reporting2,1573.548746,188.686336
18,Start preparing fold3,1573.548792,188.686336
19,Start tuning3,1573.565252,188.686336
20,End tuning3,1574.529641,188.690432
21,end testing3,1578.157946,188.690432
22,end reporting3,1584.509032,188.469248
23,Start preparing fold4,1584.509076,188.469248
24,Start tuning4,1584.526041,182.550528
25,End tuning4,1586.011653,182.550528
26,end testing4,1589.467074,182.550528
27,end reporting4,1593.631129,190.611456
28,Start preparing fold5,1593.631174,190.611456
29,Start tuning5,1593.647842,190.611456
30,End tuning5,1594.947264,190.615552
31,end testing5,1598.473634,190.615552
32,end reporting5,1603.266507,182.460416
33,Start preparing fold6,1603.266553,182.460416
34,Start tuning6,1603.282997,182.460416
35,End tuning6,1604.72725,182.460416
36,end testing6,1608.218062,182.460416
37,end reporting6,1613.229278,190.60736
38,Start preparing fold7,1613.229322,190.60736
39,Start tuning7,1613.249956,190.60736
40,End tuning7,1614.396417,190.60736
41,end testing7,1618.008943,190.60736
42,end reporting7,1620.911665,190.5664
43,Start preparing fold8,1620.911713,190.5664
44,Start tuning8,1620.929878,174.710784
45,End tuning8,1622.136398,174.710784
46,end testing8,1625.770317,174.710784
47,end reporting8,1631.470358,190.693376
48,Start preparing fold9,1631.470408,190.693376
49,Start tuning9,1631.488284,182.759424
50,End tuning9,1633.083333,182.759424
51,end testing9,1636.53218,182.759424
52,end reporting9,1640.725368,182.49728
