,milestone,time,memory
0,start,164.162038,111.86176
1,loading data,164.176642,111.86176
2,data loaded,164.480245,110.661632
3,Start preparing fold0,164.480427,110.661632
4,Start tuning0,164.532769,107.548672
5,End tuning0,167.413618,107.687936
6,end testing0,169.156102,107.819008
7,end reporting0,169.213282,107.8272
8,Start preparing fold1,169.213323,107.8272
9,Start tuning1,169.229679,107.905024
10,End tuning1,174.590787,107.905024
11,end testing1,176.256476,107.97056
12,end reporting1,176.311761,107.97056
13,Start preparing fold2,176.311801,107.97056
14,Start tuning2,176.328583,107.978752
15,End tuning2,180.537216,107.978752
16,end testing2,182.255187,107.978752
17,end reporting2,182.310787,107.982848
18,Start preparing fold3,182.310823,107.982848
19,Start tuning3,182.327885,108.027904
20,End tuning3,185.102442,108.027904
21,end testing3,186.857443,108.027904
22,end reporting3,186.914773,108.027904
23,Start preparing fold4,186.914811,108.027904
24,Start tuning4,186.931491,108.027904
25,End tuning4,191.43452,107.876352
26,end testing4,193.11881,107.876352
27,end reporting4,193.173844,107.876352
28,Start preparing fold5,193.173884,107.876352
29,Start tuning5,193.190182,107.876352
30,End tuning5,197.038455,107.876352
31,end testing5,198.730057,107.876352
32,end reporting5,198.786009,107.876352
33,Start preparing fold6,198.786049,107.876352
34,Start tuning6,198.802409,107.876352
35,End tuning6,203.151381,107.876352
36,end testing6,204.822658,107.876352
37,end reporting6,204.877165,107.876352
38,Start preparing fold7,204.877205,107.876352
39,Start tuning7,204.893685,107.876352
40,End tuning7,208.257751,107.876352
41,end testing7,210.005974,107.876352
42,end reporting7,210.063347,107.876352
43,Start preparing fold8,210.063383,107.876352
44,Start tuning8,210.080103,106.729472
45,End tuning8,213.626475,106.729472
46,end testing8,215.368391,106.729472
47,end reporting8,215.424999,106.729472
48,Start preparing fold9,215.425039,106.729472
49,Start tuning9,215.441685,106.729472
50,End tuning9,220.236449,106.729472
51,end testing9,221.891234,106.729472
52,end reporting9,221.945439,106.729472
