,milestone,time,memory
0,start,62.084648,112.439296
1,loading data,62.098526,112.439296
2,data loaded,62.397138,108.060672
3,Start preparing fold0,62.397313,108.060672
4,Start tuning0,62.435129,108.044288
5,End tuning0,62.588807,108.07296
6,end testing0,64.441018,108.179456
7,end reporting0,64.463563,108.183552
8,Start preparing fold1,64.463602,108.183552
9,Start tuning1,64.479772,107.794432
10,End tuning1,64.769044,107.798528
11,end testing1,66.55569,107.802624
12,end reporting1,66.580293,107.802624
13,Start preparing fold2,66.580335,107.802624
14,Start tuning2,66.596328,107.810816
15,End tuning2,66.815628,107.810816
16,end testing2,68.665441,107.814912
17,end reporting2,68.688443,107.819008
18,Start preparing fold3,68.688477,107.819008
19,Start tuning3,68.70457,107.58144
20,End tuning3,68.845533,107.58144
21,end testing3,70.717745,107.585536
22,end reporting3,70.740917,107.589632
23,Start preparing fold4,70.740952,107.589632
24,Start tuning4,70.7569,107.593728
25,End tuning4,70.993961,107.593728
26,end testing4,72.846639,107.593728
27,end reporting4,72.872222,107.60192
28,Start preparing fold5,72.872265,107.60192
29,Start tuning5,72.890661,107.60192
30,End tuning5,73.097592,107.610112
31,end testing5,74.920236,107.614208
32,end reporting5,74.94439,107.618304
33,Start preparing fold6,74.944428,107.618304
34,Start tuning6,74.960374,107.618304
35,End tuning6,75.193237,107.618304
36,end testing6,76.995688,107.618304
37,end reporting6,77.018388,107.6224
38,Start preparing fold7,77.018423,107.6224
39,Start tuning7,77.034487,107.6224
40,End tuning7,77.211733,107.626496
41,end testing7,79.086078,107.626496
42,end reporting7,79.108044,107.634688
43,Start preparing fold8,79.108081,107.634688
44,Start tuning8,79.124442,107.634688
45,End tuning8,79.308699,107.634688
46,end testing8,81.18742,107.634688
47,end reporting8,81.213135,107.638784
48,Start preparing fold9,81.213172,107.638784
49,Start tuning9,81.229291,107.638784
50,End tuning9,81.489799,107.638784
51,end testing9,83.31628,107.638784
52,end reporting9,83.33793,107.638784
