,milestone,time,memory
0,start,25.167513,112.439296
1,loading data,25.182104,112.439296
2,data loaded,25.491858,108.077056
3,Start preparing fold0,25.491901,108.077056
4,Start tuning0,25.508399,108.056576
5,End tuning0,25.570915,108.085248
6,end testing0,26.279693,108.19584
7,end reporting0,26.302382,108.199936
8,Start preparing fold1,26.302418,108.199936
9,Start tuning1,26.319161,107.814912
10,End tuning1,26.43195,107.819008
11,end testing1,27.105754,107.819008
12,end reporting1,27.13001,107.8272
13,Start preparing fold2,27.130047,107.8272
14,Start tuning2,27.14669,107.835392
15,End tuning2,27.235952,107.839488
16,end testing2,27.934963,107.839488
17,end reporting2,27.959222,107.84768
18,Start preparing fold3,27.959255,107.84768
19,Start tuning3,27.975613,107.614208
20,End tuning3,28.035031,107.614208
21,end testing3,28.744173,107.614208
22,end reporting3,28.76575,107.614208
23,Start preparing fold4,28.76579,107.614208
24,Start tuning4,28.782087,107.618304
25,End tuning4,28.876403,107.6224
26,end testing4,29.552337,107.6224
27,end reporting4,29.576014,107.626496
28,Start preparing fold5,29.576048,107.626496
29,Start tuning5,29.592271,107.630592
30,End tuning5,29.673237,107.630592
31,end testing5,30.357107,107.630592
32,end reporting5,30.377899,107.630592
33,Start preparing fold6,30.377935,107.630592
34,Start tuning6,30.394253,107.630592
35,End tuning6,30.485892,107.630592
36,end testing6,31.163943,107.630592
37,end reporting6,31.186854,107.634688
38,Start preparing fold7,31.186889,107.634688
39,Start tuning7,31.20343,107.634688
40,End tuning7,31.275428,107.638784
41,end testing7,31.979887,107.638784
42,end reporting7,32.001989,107.64288
43,Start preparing fold8,32.002028,107.64288
44,Start tuning8,32.018262,107.64288
45,End tuning8,32.093783,107.64288
46,end testing8,32.80522,107.64288
47,end reporting8,32.829577,107.646976
48,Start preparing fold9,32.829617,107.646976
49,Start tuning9,32.846491,107.646976
50,End tuning9,32.948575,107.646976
51,end testing9,33.620082,107.646976
52,end reporting9,33.643105,107.655168
